==========================================================================================
📊 REKAPAN ANALISA CVD (CUMULATIVE VOLUME DELTA) & DATA TRANSAKSI GMGN
==========================================================================================
Token Mint Address,H78WENHosTWPFuQvtm8swi83ipTqANJi921iG51Apump
Timeframe Awal (UTC),2026-08-02 00:04:10.000 UTC
Timeframe Akhir (UTC),2026-08-02 20:08:09.000 UTC
Total Durasi Timeframe,20.07 Jam (1204 Menit)

--- RINGKASAN METRIK CVD UTAMA ---
FINAL CVD SOL (Net Delta),-1.5251 SOL
FINAL CVD USD (Net Delta),$-110.74
FINAL CVD TOKENS,-11,048,301.019
CVD Bias / Net Inflow Ratio,-0.49% (SELL DOMINANT / DISTRIBUTION)
Total Volume SOL,312.8858 SOL (Buy: 155.6804 SOL | Sell: 157.2055 SOL)
Total Volume USD,$22898.64 (Buy: $11393.95 | Sell: $11504.69)
Total Transaksi,539 TX (Buy: 271 [50.3%] | Sell: 268 [49.7%])
Unique Traders (Wallets),173 wallets
Top Net Accumulator Wallet,7iVCXQn4u6tiTEfNVqbWSEsRdEi69E9oYsSMiepuECwi (+5.702 SOL) [Tags: bluechip_owner; bundler]
Top Net Seller Wallet,8bgSHMMaECRgarEjr6GUgkLp12KmpkrAy3zNZaDihYsq (-10.765 SOL) [Tags: trojan; top_holder]

--- MOMENTUM CVD PER KUARTIL WAKTU (Q1 -> Q4) ---
Kuartil Timeframe,Jumlah TX,Buy Volume (SOL),Sell Volume (SOL),Delta SOL (Net Inflow)
Q1 (175 TX),175,52.197,38.038,+14.160 SOL
Q2 (49 TX),49,5.044,12.362,-7.318 SOL
Q3 (214 TX),214,73.058,80.628,-7.570 SOL
Q4 (101 TX),101,25.381,26.178,-0.796 SOL

==========================================================================================
📋 DETAIL TRANSAKSI KRONOLOGIS (LENGKAP DENGAN RUNNING CVD SOL & USD)
==========================================================================================
No,Timestamp (UTC),Waktu Lokal,Arah (BUY/SELL),Delta SOL (+/-),CVD SOL (Cumulative Sum),Delta USD (+/-),CVD USD (Cumulative Sum),SOL Amount,Token Amount,USD Value,Price USD,Wallet Address,Tags (Bundler/Holder/Bot),Realized Profit USD,Current Balance,Total Trades Wallet,Tx Hash
1,2026-08-02 00:04:10.000,"02/08/2026, 07:04:10",SELL,-0.0738,-0.0738,-5.32,-5.32,0.0738,212193.46,5.32,0.00002505,9jR1RKGLXLsjYyzYSx9qu8FRgEDv6t2PB22dsenbY4Ad,"fresh_wallet",-1.83,0.00,2,3GgnxiAwEiUk2WwBmegUUvFiXGT8Lo9docENq8NZbLB1j2Sobu3JmfSDZpGRRWAaJbZuez1zvP5MNQSEBoFecTQh
2,2026-08-02 00:06:24.000,"02/08/2026, 07:06:24",BUY,0.0982,0.0244,7.07,1.76,0.0982,278533.25,7.07,0.00002540,5Nz2NSefJtU9QSFo3RVa3r73BnpoT82F5kpBN58Yk99u,"",86.09,658837.27,37,3F98StQvTB84CB7G4tC61gep8rD7PSQmKjjkomPCsHy4hr5cEckktWNAirXgAa723HZgqjts1RK3ehD5KtGPMGUm
3,2026-08-02 00:06:45.000,"02/08/2026, 07:06:45",BUY,0.4047,0.4291,29.16,30.92,0.4047,1142510.38,29.16,0.00002552,2eVBPSjwyUBkt5g5Riy6Q9zrpjY26UCb6RiwCwEEQW6Y,"",-0.55,0.00,5,5ZVdEa9uU5scGrG45BcL4rJU11GaCaHbdCoo5bcsTkM6Ss9FmZTWq7spFvFFMpDdC5TJZEH37CeqGLJiWr2ff4kg
4,2026-08-02 00:11:29.000,"02/08/2026, 07:11:29",BUY,0.3360,0.7651,24.21,55.13,0.3360,940525.21,24.21,0.00002574,4pYoZbv3ZWuaBkiL3TdU6q1x2oUpRbw4nZ5Vhtw3JjXb,"fomo; bundler",-359.53,0.00,17,2ZX2kg3858BpvFd66CJxciijkLh3hj3EtVcaeYC3mUVf7rcuABiTbjDeR2M4XoLXGnnTtPCZc7fcr5ghBGSuGFvR
5,2026-08-02 00:27:54.000,"02/08/2026, 07:27:54",SELL,-0.3573,0.4078,-25.75,29.38,0.3573,1011852.09,25.75,0.00002545,996RBNV4jsV2E2BoJ3V1frCXfcZa3fCPPLGwh5EjWfFm,"fresh_wallet",-151.46,0.00,114,3LY3zY71sAbSR8ZYuV3vkPGFCzxatZTEBnkfD69YK9o1ukwJoJH3r4XUdNivapxLpU36NtuKAiwVaqbphwHwh9DE
6,2026-08-02 00:28:48.000,"02/08/2026, 07:28:48",SELL,-0.3417,0.0661,-24.63,4.75,0.3417,974390.40,24.63,0.00002527,996RBNV4jsV2E2BoJ3V1frCXfcZa3fCPPLGwh5EjWfFm,"fresh_wallet",-151.46,0.00,114,3qhwvwz1ZaRruihukhSFnNjhpQ55G2XqKpRQm8ZNyPuMW7LsMqxCJZz98xBtS6sDuZRcHGotNy6P8DSB8MmjoF6X
7,2026-08-02 00:29:57.000,"02/08/2026, 07:29:57",BUY,0.1767,0.2429,12.73,17.49,0.1767,498414.79,12.73,0.00002555,HTuAmqLUgqMa1pG1JppbKcnWTr6Dhanjfgpcyeb34T7X,"",34.13,1403562.38,15,5YjGhKQ6vSAHMCcpzfCqFxBVxaeW4GLt3b1ESPo8rEfVKi23TbQCiEneM8Mz3qmYZUd5QR5MJhrrygTmbXQFhU23
8,2026-08-02 00:41:57.000,"02/08/2026, 07:41:57",SELL,-0.3596,-0.1168,-25.91,-8.43,0.3596,1029113.55,25.91,0.00002518,GvnYJPLoSivpdjo2AVeRmxNT8UZvJGHkbCG8da6rcoXn,"",-68.72,0.00,9,2wYZBgYF48mBngxXCEBy651iyY9af7KTr6WzKsrHsd4eFYvTR9qmFXDptR78fW9JhZkpR2fEAJx7QBz6acmDE3FB
9,2026-08-02 00:41:58.000,"02/08/2026, 07:41:58",SELL,-0.5117,-0.6284,-36.87,-45.30,0.5117,1476794.81,36.87,0.00002497,4ZLLJkmGFdJzZeGLfKH4se2LSECqoUkjjsbYPYDkGk25,"bundler",6.85,0.00,6,urvvCpBRcFZps1L3B1cxVc2QJbTLRvk3RoTFZ72id9565KfKwbGX8TWD2rjPhTESQPC8g6ts4ngcoE15FxhLC67
10,2026-08-02 00:43:31.000,"02/08/2026, 07:43:31",BUY,0.3538,-0.2746,25.50,-19.80,0.3538,1009854.13,25.50,0.00002525,A58KwGkpTzpiiZksgcA1ExHSnXBaq9qxqwXJcRW1quVE,"",7.04,0.00,16,5bZdn4zbPdXSA4R1QgJTYnmJjqTuNzzLNmQjsfosq5GP3B8T9drYHKT4tsoe6YawkQtr1g65N11WARXvtwMCfzNc
