==========================================================================================
📊 REKAPAN ANALISA CVD (CUMULATIVE VOLUME DELTA) - HANYA BUY & SELL
==========================================================================================
Token Mint Address,9cRCn9rGT8V2imeM2BaKs13yhMEais3ruM3rPvTGpump
Timeframe Awal (UTC),2026-06-18 00:02:23.000 UTC
Timeframe Akhir (UTC),2026-06-18 23:58:24.000 UTC
Total Durasi Timeframe,23.93 Jam (1.00 Hari)

--- RINGKASAN METRIK CVD UTAMA ---
FINAL CVD SOL (Net Delta Inflow),-31.7821 SOL
FINAL CVD USD (Net Delta Inflow),$-2343.27
FINAL CVD TOKENS,-21,863,222.768
CVD Bias / Net Inflow Ratio,-2.02% (SELL DOMINANT / DISTRIBUTION)
Total Volume SOL,1576.9605 SOL (Buy: 772.5892 SOL | Sell: 804.3713 SOL)
Total Volume USD,$112365.74 (Buy: $55011.23 | Sell: $57354.51)
Total Transaksi Buy & Sell,1245 TX (Buy: 645 [51.8%] | Sell: 600 [48.2%])
Unique Traders (Wallets),274 wallets
Top Net Accumulator Wallet,8dut5xTs5V7EG9ccek11xDG5eBHkfYc3NdqcxjtWNsbS (+39.120 SOL) [Tags: fresh_wallet; top_holder]
Top Net Seller Wallet,2iut8HSsfWZE9rGZiQ3mjxkDH46LGybQq2gSiCqfbaNE (-48.806 SOL) [Tags: axiom; top_holder]

--- MOMENTUM CVD PER KUARTIL WAKTU (Q1 -> Q4) ---
Kuartil Timeframe,Jumlah TX,Buy Volume (SOL),Sell Volume (SOL),Delta SOL (Net Inflow)
Q1 (354 TX),354,262.812,249.444,+13.368 SOL
Q2 (428 TX),428,242.157,288.398,-46.241 SOL
Q3 (259 TX),259,111.685,138.889,-27.203 SOL
Q4 (204 TX),204,155.935,127.640,+28.295 SOL

==========================================================================================
📋 DETAIL TRANSAKSI BUY & SELL (LENGKAP DENGAN RUNNING CVD SOL & USD)
==========================================================================================
No,Timestamp (UTC),Waktu Lokal,Arah (BUY/SELL),Delta SOL (+/-),CVD SOL (Cumulative Sum),Delta USD (+/-),CVD USD (Cumulative Sum),SOL Amount,Token Amount,USD Value,Price USD,Wallet Address,Tags (Bundler/Holder/Bot),Realized Profit USD,Current Balance,Total Trades Wallet,Tx Hash
1,2026-06-18 00:02:23.000,"6/18/2026, 7:02:23 AM",SELL,-2.4142,-2.4142,-174.13,-174.13,2.4142,1023834.71,174.13,0.00017008,64aY9KBgoJko3TXi9pTW28bcvR3E64bCeNu1LMpb4UH,"trojan",72.41,0.00,29,2FpuzanZGUs6pw57sNnmA9g6LAnfqAteUn7hpxYAVTxUmd4hmHGxtsKZS7oZbCLaduNgkjEtuzPTmuhpmN4dHWcf
2,2026-06-18 00:03:12.000,"6/18/2026, 7:03:12 AM",BUY,0.2080,-2.2061,15.01,-159.13,0.2080,87911.08,15.01,0.00017071,E8JmvEshc13K6emeV5k46wyw89r5jT7QRerUhSpQ5c8j,"",12.56,0.00,4,3HGEx331WeuR8mNwcaUrkMCunJxcyQiwDJt9iyUhe5op54Nnn9Nd54QP3qCEEG3PTMjH3qUNj5rxFmHQnze2V4Um
3,2026-06-18 00:09:04.000,"6/18/2026, 7:09:04 AM",SELL,-2.3665,-4.5726,-170.86,-329.99,2.3665,1023834.71,170.86,0.00016688,64aY9KBgoJko3TXi9pTW28bcvR3E64bCeNu1LMpb4UH,"trojan",72.41,0.00,29,2Ldx8ZgYhS5Q44Q7DezaMhEpkmP8qCbQJVskcYJwVjfXm1TpUT8ZR1L37PtXT8Su6iC7vBA7hmTC7vWYLdBv15LU
4,2026-06-18 00:09:28.000,"6/18/2026, 7:09:28 AM",SELL,-1.0658,-5.6385,-76.96,-406.95,1.0658,468462.20,76.96,0.00016429,5j1JqjrSjZDgAZKMtSHyxV8BzRXiHLmVqXxMQosKiE3r,"",-23.70,0.00,5,nVKPVAfGBrhEmjAiduvERCJN7JmMb7zT5JtJUXYa7FEkFneds58jrvH7ML6mShDDkQCD1MEpZv1HytBRj1cX3sE
5,2026-06-18 00:10:53.000,"6/18/2026, 7:10:53 AM",SELL,-5.3420,-10.9804,-386.07,-793.02,5.3420,2419544.90,386.07,0.00015956,RmHdhBGn3FoiC72oFcbvdbk7qLq7zK8xCkHYbkmTRct,"fresh_wallet; gmgn",-538.89,0.00,23,2pbMKBRWYUZzxgexQaZD6kBzJFUpeBmd2Momhf2GTBqCT6inpqBKMQ6MkjHNFbaFsuUQDKJwbed2RX3kWxn7239G
6,2026-06-18 00:10:55.000,"6/18/2026, 7:10:55 AM",BUY,0.0991,-10.8814,7.16,-785.86,0.0991,45350.13,7.16,0.00015791,8n3m7Mj5zmaa7kA1apaBUyDiS8HGwLPVmpAXcSG8Ngp5,"fresh_wallet",99.95,0.00,206,4nRH2awW9JkTpWz35cMQAMRhF4mkpnCRb66wpkW89yYypsiEBM5LfAGr9LCBcZjqAKxP6eetzk76Z6vXo2SVYx4f
7,2026-06-18 00:11:50.000,"6/18/2026, 7:11:50 AM",BUY,2.0187,-8.8627,145.89,-639.96,2.0187,914376.82,145.89,0.00015955,AeBgCFnkSWMAwv3zjaJPB93hxEBUEVkhEyKVFaxT84pJ,"paper_hands",979.91,0.00,571,4qGcRcYJ2ni3z9Wk2BimrFV3ysRR6KBCcziUv4t7Xgxh4CyYDn8VnH3c1TFYaNuUTFoPqvPn6k1is3FnjobfhbgA
8,2026-06-18 00:12:38.000,"6/18/2026, 7:12:38 AM",BUY,3.4257,-5.4370,247.54,-392.43,3.4257,1513006.00,247.54,0.00016361,aCWpr6VjkY6oNsFn7C9XzMZKfV78xMAHtjxgDiZByH4,"",1616.00,5.33,144,5yJTDYM3WxjoPJMRGZLFhuKugHYEteJjCVr9k85xdniF6zYiQ6zRxRYNPhBc4EQs4xDaXzyY6hW1KocPbrDwzsTR
9,2026-06-18 00:12:41.000,"6/18/2026, 7:12:41 AM",BUY,0.0991,-5.3380,7.16,-385.27,0.0991,43053.49,7.16,0.00016626,HFX2dqzyQeRAdkjp41D4qThfsPPSyBDkVoruBr93zhY9,"",14.44,0.00,464,2XzPxJokiVSBGJL6vaprQQqo7jMgTqZVrxys3F3cebrZU1spPgxyg5MxzZvxuQUehn6KKP7yhBsoUg7uqNck8t5H
10,2026-06-18 00:13:30.000,"6/18/2026, 7:13:30 AM",BUY,1.3700,-3.9679,99.04,-286.23,1.3700,591468.81,99.04,0.00016745,aCWpr6VjkY6oNsFn7C9XzMZKfV78xMAHtjxgDiZByH4,"",1616.00,5.33,144,2KRjPmSg8V1e42ymEZvEULknw1CwYm6aJ1JpGFUKBEXsH75PQEGjFWSJEMiJ9T8qPz3V9oxqRckVgryanQu23sg3
