==========================================================================================
📊 REKAPAN ANALISA CVD (CUMULATIVE VOLUME DELTA) - HANYA BUY & SELL
==========================================================================================
Token Mint Address,9cRCn9rGT8V2imeM2BaKs13yhMEais3ruM3rPvTGpump
Timeframe Awal (UTC),2026-06-25 00:02:12.000 UTC
Timeframe Akhir (UTC),2026-06-25 23:59:03.000 UTC
Total Durasi Timeframe,23.95 Jam (1.00 Hari)

--- RINGKASAN METRIK CVD UTAMA ---
FINAL CVD SOL (Net Delta Inflow),-692.7397 SOL
FINAL CVD USD (Net Delta Inflow),$-3129.63
FINAL CVD TOKENS,-17,903,301.211
CVD Bias / Net Inflow Ratio,-13.25% (SELL DOMINANT / DISTRIBUTION)
Total Volume SOL,5229.5126 SOL (Buy: 2268.3865 SOL | Sell: 2961.1262 SOL)
Total Volume USD,$82937.24 (Buy: $39903.80 | Sell: $43033.43)
Total Transaksi Buy & Sell,1813 TX (Buy: 994 [54.8%] | Sell: 819 [45.2%])
Unique Traders (Wallets),1180 wallets
Top Net Accumulator Wallet,HxjwdF326ZunmUwC1iXhfgL3ku78YsksN6n7Rfxzwr6b (+811.420 SOL) [Tags: sandwich_bot; bluechip_owner]
Top Net Seller Wallet,HvFdDWS3RqymRAVx1ZdoL2RjiC38r5dtt19Z8op5jqDK (-1385.948 SOL) [Tags: sandwich_bot; bluechip_owner]

--- MOMENTUM CVD PER KUARTIL WAKTU (Q1 -> Q4) ---
Kuartil Timeframe,Jumlah TX,Buy Volume (SOL),Sell Volume (SOL),Delta SOL (Net Inflow)
Q1 (111 TX),111,1759.655,77.661,+1681.994 SOL
Q2 (256 TX),256,114.609,2459.931,-2345.322 SOL
Q3 (133 TX),133,86.658,61.508,+25.150 SOL
Q4 (1313 TX),1313,307.464,362.026,-54.561 SOL

==========================================================================================
📋 DETAIL TRANSAKSI BUY & SELL (LENGKAP DENGAN RUNNING CVD SOL & USD)
==========================================================================================
No,Timestamp (UTC),Waktu Lokal,Arah (BUY/SELL),Delta SOL (+/-),CVD SOL (Cumulative Sum),Delta USD (+/-),CVD USD (Cumulative Sum),SOL Amount,Token Amount,USD Value,Price USD,Wallet Address,Tags (Bundler/Holder/Bot),Realized Profit USD,Current Balance,Total Trades Wallet,Tx Hash
1,2026-06-25 00:02:12.000,"6/25/2026, 7:02:12 AM",SELL,-0.2971,-0.2971,-20.23,-20.23,0.2971,99500.00,20.23,0.00020327,AmNDxHzjmkx7FS8sT7QpCYmVt9GTdpAFtmMi33YKgZLZ,"top_holder",46076.84,0.00,353,4nMyFoX6hAKn9eoQiRgfsyWSmJUTPLn9AY6ZGZpZomMxKRWoHfxot1LJsQdTaN6enXanDzDNjTqV3WrRjeNPwUqi
2,2026-06-25 00:05:43.000,"6/25/2026, 7:05:43 AM",BUY,0.0994,-0.1977,6.77,-13.45,0.0994,32799.10,6.77,0.00020653,7Gi3RNdV3nZU9fhnLodZ6p662dQgQDe5ck2VWn9d45Tn,"paper_hands; bundler",9.15,0.00,136,3UqLrBMSLt2gNHwPAGsU5hBjNZPC4f3ZoXxDL8LhXiYCyEmgU4pVzAP3qPDxMKUHMAJTGKb5ptDargJUtoyAaQmT
3,2026-06-25 00:05:43.000,"6/25/2026, 7:05:43 AM",BUY,0.4185,0.2208,28.52,15.07,0.4185,138327.91,28.52,0.00020617,2LsypdLpNwWiC8N5P1Ut3e1hEdv3aKRiiM8VWGMc6XVJ,"bundler",68.41,0.00,107,3humb8fEWv6Ztaj6V6WtBAQziMDPKkD3svjyR2rJ2DaFGfwBPv1ULrYhcDzH1yewQ3YvN8aZsAPuCYqXuUCAEqAE
4,2026-06-25 00:05:44.000,"6/25/2026, 7:05:44 AM",BUY,0.2000,0.4208,13.63,28.70,0.2000,65574.49,13.63,0.00020782,AKprbkX7HKoSFYtKshbGPxwM1hyrg3AxEAVhLNSqyyEB,"paper_hands; bundler",-1.80,0.00,65,4DKtGVp9rznfEYtjVVPi3XPBfZ4pwZbafSWEqVZRb3nZKf4ujXrtVtR2JLauTDZzQJERRFuCypJzkakuN7gfP6cx
5,2026-06-25 00:05:44.000,"6/25/2026, 7:05:44 AM",BUY,0.2993,0.7201,20.40,49.09,0.2993,98326.20,20.40,0.00020743,3fuga4fDgNY974eJDfBgYX8pwTCW9wtWS9qoxSWdSPRu,"",9.93,6.86,92,dyc115n8QgzwsttAoe27dZPqpS4LFv41ZV1YrCZwJWBuafoum3xSLZTy8RjxWJmB1fvbVVmMeo2xmoTd87QTM6R
6,2026-06-25 00:05:44.000,"6/25/2026, 7:05:44 AM",BUY,0.2987,1.0188,20.35,69.44,0.2987,98326.20,20.35,0.00020698,AxQRySJbPDstHXdd2rwGKbGzaYSn6EGxVt8psEkY3CeF,"paper_hands",14.02,1.45,106,4jHpsnv7azwhThSkgCd2QF8HJzHjHyVxUHGvQVVqerxJ1anRyGytRkoPc5Z6juXqzbBETLTanUjN8DgoKvA74sZ5
7,2026-06-25 00:05:44.000,"6/25/2026, 7:05:44 AM",BUY,0.0995,1.1183,6.78,76.22,0.0995,32799.10,6.78,0.00020668,HK7ThLpYUReHL2xsEbx6KKjMMHdoTZpZHyV2BKf3tVDs,"paper_hands",-11.79,1.37,58,4t54oybeaUfUyXx6suRoL5SW2j34YaF9yKTZs2uinpMHzkjDRJwdXBDq7mKbhdu85AxqvqNgYzAvM6iYSwGN3uy6
8,2026-06-25 00:05:50.000,"6/25/2026, 7:05:50 AM",BUY,0.4955,1.6138,33.78,110.00,0.4955,162068.42,33.78,0.00020841,BAHNyHSAztWpphMfo3L2chsVgZXFQwZnKJLVzpFhX8TM,"gmgn",2.86,0.00,4,4tpxEtF4VXMFhv9WFuUzrBkTxKgjw2Xv5LHmgdeXzQ9H2ATAT5qtfv1oP2vxFapz23VNUdUuHvDHD3W6SDciV4ZJ
9,2026-06-25 00:11:11.000,"6/25/2026, 7:11:11 AM",BUY,0.2277,1.8416,15.53,125.53,0.2277,74282.89,15.53,0.00020905,FFN8F1SW9iJfZbBjJwRPKXHtLa581x72AVqJpkvecDmq,"",56.68,0.00,73,4hWwJd3SLWmirvfZRcHLduC9bkzkUeThRfbEPnqQHer1Yko3q6r7vvqcmgaPdqzQ5eaDNdjG2i6mvH86QB397t1h
10,2026-06-25 00:13:55.000,"6/25/2026, 7:13:55 AM",SELL,-4.1201,-2.2785,-280.74,-155.22,4.1201,1381371.27,280.74,0.00020323,aCWpr6VjkY6oNsFn7C9XzMZKfV78xMAHtjxgDiZByH4,"",1616.00,5.33,144,GQKCZchCTK6LdwBvL2oVFC3uUDY6h9iBz6HowZpv58UUPEPeR2h84hUNoXysAJBtqwpkFnkU1oorKkwnFSuxtZV
