==========================================================================================
📊 REKAPAN ANALISA CVD (CUMULATIVE VOLUME DELTA) - HANYA BUY & SELL
==========================================================================================
Token Mint Address,BnXWvsVZYgBxTUDyDqHZjvFbQGvEZeipY4ZdmqCbpump
Timeframe Awal (UTC),2026-04-21 00:00:09.000 UTC
Timeframe Akhir (UTC),2026-04-21 23:59:50.000 UTC
Total Durasi Timeframe,23.99 Jam (1.00 Hari)

--- RINGKASAN METRIK CVD UTAMA ---
FINAL CVD SOL (Net Delta Inflow),-21.5850 SOL
FINAL CVD USD (Net Delta Inflow),$-1834.93
FINAL CVD TOKENS,-39,335,251.635
CVD Bias / Net Inflow Ratio,-0.83% (SELL DOMINANT / DISTRIBUTION)
Total Volume SOL,2587.8790 SOL (Buy: 1283.1470 SOL | Sell: 1304.7320 SOL)
Total Volume USD,$221388.62 (Buy: $109776.84 | Sell: $111611.78)
Total Transaksi Buy & Sell,6460 TX (Buy: 3404 [52.7%] | Sell: 3056 [47.3%])
Unique Traders (Wallets),1124 wallets
Top Net Accumulator Wallet,9r75WXEnpgCdwq1Liq2CJquVpmmisjVXAzXZF8ZApMQT (+12.173 SOL) [Tags: paper_hands; top_holder]
Top Net Seller Wallet,4sB9i1Q9M2NurWwPFGbaSrsvwefswrFyoXK376Vgm9ts (-14.626 SOL) [Tags: top_holder]

--- MOMENTUM CVD PER KUARTIL WAKTU (Q1 -> Q4) ---
Kuartil Timeframe,Jumlah TX,Buy Volume (SOL),Sell Volume (SOL),Delta SOL (Net Inflow)
Q1 (3357 TX),3357,562.084,601.566,-39.482 SOL
Q2 (1642 TX),1642,313.457,307.382,+6.076 SOL
Q3 (744 TX),744,192.909,196.014,-3.105 SOL
Q4 (717 TX),717,214.698,199.771,+14.927 SOL

==========================================================================================
📋 DETAIL TRANSAKSI BUY & SELL (LENGKAP DENGAN RUNNING CVD SOL & USD)
==========================================================================================
No,Timestamp (UTC),Waktu Lokal,Arah (BUY/SELL),Delta SOL (+/-),CVD SOL (Cumulative Sum),Delta USD (+/-),CVD USD (Cumulative Sum),SOL Amount,Token Amount,USD Value,Price USD,Wallet Address,Tags (Bundler/Holder/Bot),Realized Profit USD,Current Balance,Total Trades Wallet,Tx Hash
1,2026-04-21 00:00:09.000,"4/21/2026, 7:00:09 AM",SELL,-0.0987,-0.0987,-8.42,-8.42,0.0987,73857.44,8.42,0.00011396,54Pz1e35z9uoFdnxtzjp7xZQoFiofqhdayQWBMN7dsuy,"sandwich_bot; bluechip_owner; bundler",-162.61,0.00,3272,5RxrE3dgbLRYaA4AW9DqZk7DuBnqx1wEhm94YS14LCi4eJ7cZDgjj8MnA8MLbDToof73ocaWUonmfdu6m7HbwrvP
2,2026-04-21 00:00:12.000,"4/21/2026, 7:00:12 AM",SELL,-0.2064,-0.3051,-17.61,-26.02,0.2064,159004.03,17.61,0.00011073,2tgUbS9UMoQD6GkDZBiqKYCURnGrSb6ocYwRABrSJUvY,"trojan; bundler",249.54,0.00,1068,5FbJ3fbqEVjZ2MtxDpoQCSk7utmTheJzRsJp1xLzVcDBJ82aBkutqBystv1XhkQsMaNq8oM7KRHzhYU96GiTb3Nv
3,2026-04-21 00:00:12.000,"4/21/2026, 7:00:12 AM",SELL,-0.2069,-0.5120,-17.65,-43.67,0.2069,159004.03,17.65,0.00011097,2tgUbS9UMoQD6GkDZBiqKYCURnGrSb6ocYwRABrSJUvY,"trojan; bundler",249.54,0.00,1068,5vCT7eVgKCmHbxLQXh2As4ogGP7zfsMgV63VrifQbf9ZqqmSfnQMtekcvGZX9Gu53KeTqdrNgBX7rtchyNBQTFzm
4,2026-04-21 00:00:13.000,"4/21/2026, 7:00:13 AM",SELL,-0.0115,-0.5236,-0.98,-44.65,0.0115,8904.84,0.98,0.00011060,F3DUZaVLvjPuiYDuaT6YNKxG7hxdXET2wwm4LcWd6j4Z,"",9.43,0.00,248,26vTq5aEW7PsXBAyB4ZSX1AhDgsiY9K9fPnxyGveQ7TQRouBEeXxJLmF3FjfJaCzgEFBXVLvBbZbYwPE1ycxDi1P
5,2026-04-21 00:00:55.000,"4/21/2026, 7:00:55 AM",BUY,0.5798,0.0562,49.44,4.78,0.5798,439558.24,49.44,0.00011247,WA7FRg1GNonpgQG9AtBVtnTkBTQde2VnwRi3zySvv6o,"",-678.20,0.00,25,4v44fYXtNDEA96UF4NFGTnJ6uzP3xp2QMmkGnvHUK4gPr712puRpTE5bDndcehyxskSxurjwDUnSkKmfUd6B7EJm
6,2026-04-21 00:01:14.000,"4/21/2026, 7:01:14 AM",SELL,-0.0552,0.0011,-4.71,0.08,0.0552,41761.77,4.71,0.00011268,JD6rVaerbyz6wjQ433nrw6bFTgFrp46MiYmi8EtUAfsG,"sandwich_bot; bluechip_owner",549.87,22640.62,27792,3bNPx895GcbTq5wmAbRN73S131cKGJWSYsU2Df8p8ipFcHN6bv2twkGmqhr3hH8CrbYZokWn2mXMVDkN31xJ4dY9
7,2026-04-21 00:01:14.000,"4/21/2026, 7:01:14 AM",BUY,0.0549,0.0560,4.69,4.76,0.0549,42648.87,4.69,0.00010987,JD6rVaerbyz6wjQ433nrw6bFTgFrp46MiYmi8EtUAfsG,"sandwich_bot; bluechip_owner",549.87,22640.62,27792,3bNPx895GcbTq5wmAbRN73S131cKGJWSYsU2Df8p8ipFcHN6bv2twkGmqhr3hH8CrbYZokWn2mXMVDkN31xJ4dY9
8,2026-04-21 00:01:14.000,"4/21/2026, 7:01:14 AM",SELL,-2.5550,-2.4990,-217.94,-213.18,2.5550,1985248.67,217.94,0.00010978,G7ckwKimxD6YTqC7SPW8nhyHy82DguUTTqpmJLgxS9fY,"",299.93,0.00,46,4j97vZ5iCEpDJyoKEvLQ1WcWG7oHXyQY5GaFRFSZtbJ8adJrgUJ2YrKerAVLA4g7a4p3ugRYaA44ZeRiDjnqhMi9
9,2026-04-21 00:01:31.000,"4/21/2026, 7:01:31 AM",SELL,-0.1730,-2.6720,-14.76,-227.94,0.1730,133167.01,14.76,0.00011082,B5n9BeMDAhMoJWKiirkkeQ2t6xSkaKyQ8gviinpYLaP2,"",0.00,0.00,3,3zu9WWKdDj4Pncn2yVL3TY9hvMvDwipeM3bAa7DnUoMSUoNYPSsN6mRESvKHUsYZsWBtxUmuWCYJuuVVPyYjgczX
10,2026-04-21 00:01:39.000,"4/21/2026, 7:01:39 AM",SELL,-0.1546,-2.8266,-13.19,-241.12,0.1546,121721.36,13.19,0.00010833,G7ckwKimxD6YTqC7SPW8nhyHy82DguUTTqpmJLgxS9fY,"",299.93,0.00,46,5Y9EvD74MC8qcazTHDPqgdBeWH9Me5GuiE2aBBie3gptAe6EQ3Y5muUnNntLYns9oii7yhqFw6GmMtpgmBFjdAi2
