==========================================================================================
📊 REKAPAN ANALISA CVD (CUMULATIVE VOLUME DELTA) - HANYA BUY & SELL
==========================================================================================
Token Mint Address,J4x1EMmQjF6WEzXq2tUtzY89x5aMhYz5CzfevcJEpump
Timeframe Awal (UTC),2026-06-06 00:00:12.000 UTC
Timeframe Akhir (UTC),2026-06-06 23:59:38.000 UTC
Total Durasi Timeframe,23.99 Jam (1.00 Hari)

--- RINGKASAN METRIK CVD UTAMA ---
FINAL CVD SOL (Net Delta Inflow),-142.8269 SOL
FINAL CVD USD (Net Delta Inflow),$-8926.71
FINAL CVD TOKENS,-47,011,966.887
CVD Bias / Net Inflow Ratio,-1.75% (SELL DOMINANT / DISTRIBUTION)
Total Volume SOL,8160.2707 SOL (Buy: 4008.7219 SOL | Sell: 4151.5488 SOL)
Total Volume USD,$509400.39 (Buy: $250236.84 | Sell: $259163.55)
Total Transaksi Buy & Sell,9564 TX (Buy: 4986 [52.1%] | Sell: 4578 [47.9%])
Unique Traders (Wallets),2245 wallets
Top Net Accumulator Wallet,AcWUnDZvetCseGZpSMEyfrx7max539ndXgEbmkxz8RrG (+50.100 SOL) [Tags: gmgn; top_holder]
Top Net Seller Wallet,7vviyaDLNsYSA8vMpDeZkK1LnuiFGvyGMpmFw7Wpwxc2 (-31.541 SOL) [Tags: top_holder]

--- MOMENTUM CVD PER KUARTIL WAKTU (Q1 -> Q4) ---
Kuartil Timeframe,Jumlah TX,Buy Volume (SOL),Sell Volume (SOL),Delta SOL (Net Inflow)
Q1 (2628 TX),2628,884.680,935.620,-50.940 SOL
Q2 (2830 TX),2830,912.733,933.899,-21.166 SOL
Q3 (2715 TX),2715,1352.099,1302.081,+50.018 SOL
Q4 (1391 TX),1391,859.211,979.949,-120.738 SOL

==========================================================================================
📋 DETAIL TRANSAKSI BUY & SELL (LENGKAP DENGAN RUNNING CVD SOL & USD)
==========================================================================================
No,Timestamp (UTC),Waktu Lokal,Arah (BUY/SELL),Delta SOL (+/-),CVD SOL (Cumulative Sum),Delta USD (+/-),CVD USD (Cumulative Sum),SOL Amount,Token Amount,USD Value,Price USD,Wallet Address,Tags (Bundler/Holder/Bot),Realized Profit USD,Current Balance,Total Trades Wallet,Tx Hash
1,2026-06-06 00:00:12.000,"6/6/2026, 7:00:12 AM",SELL,-0.0458,-0.0458,-2.92,-2.92,0.0458,10065.71,2.92,0.00029011,CjqzCC6J27fk5vx5LXx83cft1CKREiC9TkJaYb54ZA5m,"",107.51,0.00,98,4X96UU5mijc4iv19JyAaxUD4Tj2t4dfJgiUJrpfvh8zg9YPv9FhY98Xt2fr2UzpMEgYn2SKMpdAfTMBBZHtNXc6X
2,2026-06-06 00:00:20.000,"6/6/2026, 7:00:20 AM",BUY,0.7440,0.6982,47.47,44.55,0.7440,165234.36,47.47,0.00028729,AmNDxHzjmkx7FS8sT7QpCYmVt9GTdpAFtmMi33YKgZLZ,"",4159.92,0.00,178,3H5KGj9toAGD6wy9rLGg68xC356Cc3z3fN9PVgnBtzH6aAtHiEkYrGxxxAgEG12APox7bF89Y45CHegwLY9NgWKw
3,2026-06-06 00:00:30.000,"6/6/2026, 7:00:30 AM",SELL,-4.4984,-3.8002,-287.40,-242.85,4.4984,1000000.00,287.40,0.00028740,GW6xQGMnmSfNYggEcNtQ8ZgXgnFC2NjEGRyQrecUd755,"",-162.56,0.00,71,4V6n8jdo5DD7MgUv9gAybexM51ypVx6VBs7C7Cb9Lo55YPRnK2G4xvLPDxSpiqnTyAdJByLkpR46c1ZxjoGsWPeC
4,2026-06-06 00:00:36.000,"6/6/2026, 7:00:36 AM",BUY,0.0021,-3.7981,0.13,-242.72,0.0021,463.94,0.13,0.00028717,266WEJrowjaiNLN7Z5gr5Gdd17xCcy1D8VRzyHGSFy6c,"",-13.89,0.00,155,4EbtSg1CuvzmVw83UAeacqQNLaaTqoCiUuvwmu2gbvFUqPa892rW2vUWX3DutBBpSpUCTVtQhNxRfsCdy6ETgj6
5,2026-06-06 00:00:44.000,"6/6/2026, 7:00:44 AM",SELL,-1.0755,-4.8736,-68.61,-311.33,1.0755,242695.26,68.61,0.00028269,rzHzwPxKXjeyex9az96NxH33ACUehqEaXp9LTUWF8LA,"paper_hands",0.00,0.00,7,352vnUyWM7fww2VxtKCbZ8SatQkZmJcQncKXxLcjQ7cTDZJCKu4T8pL1qfdK6QZwBYCWydY99Usaa7xd1T81D4XP
6,2026-06-06 00:00:59.000,"6/6/2026, 7:00:59 AM",BUY,0.4911,-4.3826,31.38,-279.94,0.4911,109661.14,31.38,0.00028620,4fPPCqjitgBuuKjoekoavnBQxBxTSXSLXNdyfE8Jg6vn,"",162.58,0.00,101,5UcCPkfcVffmXjpPmwLWsUz8coFBxsW5VHLSndTQBgGj2q4roMkvxA6KxHcPM5gpfwWhpoXdmgSw7HKA9XJXhsD5
7,2026-06-06 00:01:09.000,"6/6/2026, 7:01:09 AM",SELL,-1.2848,-5.6674,-82.10,-362.04,1.2848,291022.85,82.10,0.00028211,GX4hCjUQHJ25zpKvDH1jnmBUd5XEeuXdw6VVD5i4G8ec,"gmgn",-15.78,0.00,37,NEBQQGMNUfmbTtieEWE8UWXt6amgPzpjbJsjoZdensww31chjn91nqome2DckwAg3ATx7wrSxCkipzDndFPuCHU
8,2026-06-06 00:01:15.000,"6/6/2026, 7:01:15 AM",SELL,-0.4732,-6.1406,-30.24,-392.28,0.4732,107691.72,30.24,0.00028077,HLC1bKWwZwCTUPBkpZqwaZKgYW78m1PErrWHnBba4cLE,"pepeboost; gmgn; bundler",-95.68,0.00,6,i6XeKViNbeGLHwE6Mpd83pbv1d6vjAnTsRxVTqWREAABBEQFgYQeK9PrRVA4FDzKuVaTaNsokVSsNQi9DiQYpxG
9,2026-06-06 00:01:29.000,"6/6/2026, 7:01:29 AM",BUY,0.0098,-6.1308,0.63,-391.65,0.0098,2211.26,0.63,0.00028386,Ca3hgK2e6urPerSBNbSEPEwaL3W1vQ6gKp2uMxUSaHFU,"axiom",73.06,0.00,245,4f3dJHG5Cwd7K6yFh7pjZBPUNiu2CpUWLVrNQzZG6at4G9WmG3r5DtnVn42VQGPypbvcaPt2isNuuvuNCMYS3rQr
10,2026-06-06 00:01:46.000,"6/6/2026, 7:01:46 AM",BUY,2.7114,-3.4194,173.23,-218.42,2.7114,606018.83,173.23,0.00028585,CbXe21PMpsHB7bekdnBWDqvvEiP3bCNRsjD9u9gj969N,"axiom; fomo",1297.10,0.00,44,wbxDXywdbd89sfPBYcRq9JTpDUpkWgeNXwVbueMpZxqUZMBKmEgJf7xDKc9KuyG75VMF5MweEDwa2MZj5uCefyC
