==========================================================================================
📊 REKAPAN ANALISA CVD (CUMULATIVE VOLUME DELTA) - HANYA BUY & SELL
==========================================================================================
Token Mint Address,JCKwsT8UAbygnFkZ7u3amDUM7BXRtwUhCsHQv2khpump
Timeframe Awal (UTC),2026-06-28 00:15:56.000 UTC
Timeframe Akhir (UTC),2026-06-28 23:58:53.000 UTC
Total Durasi Timeframe,23.72 Jam (0.99 Hari)

--- RINGKASAN METRIK CVD UTAMA ---
FINAL CVD SOL (Net Delta Inflow),-32.9706 SOL
FINAL CVD USD (Net Delta Inflow),$-2360.57
FINAL CVD TOKENS,-13,072,818.157
CVD Bias / Net Inflow Ratio,-4.69% (SELL DOMINANT / DISTRIBUTION)
Total Volume SOL,703.5961 SOL (Buy: 335.3127 SOL | Sell: 368.2834 SOL)
Total Volume USD,$50180.07 (Buy: $23909.75 | Sell: $26270.32)
Total Transaksi Buy & Sell,822 TX (Buy: 494 [60.1%] | Sell: 328 [39.9%])
Unique Traders (Wallets),267 wallets
Top Net Accumulator Wallet,4LAmk6jCqYY98WoP8g9ZTvPA6QZoTWWB6SCn25DRbGhn (+22.289 SOL) [Tags: gmgn; top_holder]
Top Net Seller Wallet,FUCdBqE1Q5CWUntaoR7VhjRu8vUAZemuS3cimJTxtEiC (-25.893 SOL) [Tags: axiom; fomo; paper_hands; top_holder]

--- MOMENTUM CVD PER KUARTIL WAKTU (Q1 -> Q4) ---
Kuartil Timeframe,Jumlah TX,Buy Volume (SOL),Sell Volume (SOL),Delta SOL (Net Inflow)
Q1 (74 TX),74,26.055,39.798,-13.743 SOL
Q2 (126 TX),126,37.124,68.862,-31.738 SOL
Q3 (327 TX),327,155.895,150.508,+5.388 SOL
Q4 (295 TX),295,116.238,109.116,+7.122 SOL

==========================================================================================
📋 DETAIL TRANSAKSI BUY & SELL (LENGKAP DENGAN RUNNING CVD SOL & USD)
==========================================================================================
No,Timestamp (UTC),Waktu Lokal,Arah (BUY/SELL),Delta SOL (+/-),CVD SOL (Cumulative Sum),Delta USD (+/-),CVD USD (Cumulative Sum),SOL Amount,Token Amount,USD Value,Price USD,Wallet Address,Tags (Bundler/Holder/Bot),Realized Profit USD,Current Balance,Total Trades Wallet,Tx Hash
1,2026-06-28 00:15:56.000,"6/28/2026, 7:15:56 AM",BUY,0.9807,0.9807,69.28,69.28,0.9807,428424.93,69.28,0.00016170,AgLBeheyX8eern4yb33b1w52A6oSPAj4wmBavK8MS6zt,"axiom",243.86,0.00,72,5yoENcdo3BXWCGmRYd83HsJMmMTNC5cn4JxJfiHzd1vvbnyninGr1W51Dfgs3YHJsCBwjNrdc3rTZphsyAyLrJx
2,2026-06-28 00:18:08.000,"6/28/2026, 7:18:08 AM",SELL,-2.2470,-1.2663,-158.86,-89.59,2.2470,1000000.00,158.86,0.00015886,7rKcmDMzjSp1U2aujkTKURKXQXo6usoaYrZvozCwedym,"fresh_wallet",72.39,0.00,26,J1HqZs1cfohjWUQkJuU2UAGC86VL6pQJyT4CxQnBHNGg8vgrZGYrehL4vNzJ7tcqbjw2dKKVCV6Cf3kxWe8ffeA
3,2026-06-28 00:19:57.000,"6/28/2026, 7:19:57 AM",BUY,0.8390,-0.4273,59.34,-30.25,0.8390,376058.56,59.34,0.00015779,DnaemY3PNAXRzmTvAJpjXtpraUamqrSKj8P4CtLPssev,"fomo",5786.58,0.00,68,3UFYiw1ysnjY8vxojTD3dE7GH36HuP28oBNQFaP7mvHh3yZF5cJcZgbMLcJL4LcLXNzmW2bpWF7vyT2BfP6LT7ZL
4,2026-06-28 00:20:15.000,"6/28/2026, 7:20:15 AM",SELL,-0.9017,-1.3290,-63.76,-94.01,0.9017,400227.92,63.76,0.00015931,4mT8XHhro3Ef7eDZoaMti2tiG12edVKszUw1qpd1GWLg,"fomo",3644.22,0.00,761,3KutP2u2ox7Vtu5hhv6uw4mUuAtaEnH4bh7foQJ5zAKGUuUVJHuJY2tq6SEUhKcwVRddZd6rsEuDD9VPEXnz9heH
5,2026-06-28 00:37:41.000,"6/28/2026, 7:37:41 AM",SELL,-4.0001,-5.3292,-282.53,-376.54,4.0001,1809970.13,282.53,0.00015610,4nZXpUpcKMfxWeHeVdMNCgptQ1susTzy6J2XLDei8WkX,"fomo",-78.04,0.00,18,3AC4zSjx9J8bzA33cFzK1MKPFhLcSM9Vu1YmCNUPfgyQRfQt1C17DxJ1iapwmeHwGADCYokuovBfb2J2J9btMiKR
6,2026-06-28 00:37:57.000,"6/28/2026, 7:37:57 AM",BUY,2.2427,-3.0865,158.47,-218.06,2.2427,1008106.04,158.47,0.00015720,4nZXpUpcKMfxWeHeVdMNCgptQ1susTzy6J2XLDei8WkX,"fomo",-78.04,0.00,18,2LSNR58XgxFs2MZph8t66go22buz4dNYv5e27wqG22kWiRfKsKdrFjLZvzTLsPXN82jNyAj1PbNxc7euaFWoTaQS
7,2026-06-28 00:52:25.000,"6/28/2026, 7:52:25 AM",BUY,0.4911,-2.5954,34.69,-183.37,0.4911,218440.39,34.69,0.00015881,AKJkGQWsZXcJXPE2a1WaSAf9mk6chdEhGnzjW9K8pvwS,"",9536.16,203164.83,203,4hVpAwVcFVbx9yuWYwpd14Dzxx3wGs3mdJQbgLjYRXwpwrmfQUkpASoQmKH5PKGyFwyvVmkJi3vQJAtFKegDKTKM
8,2026-06-28 00:54:37.000,"6/28/2026, 7:54:37 AM",SELL,-2.2029,-4.7983,-155.70,-339.08,2.2029,1000000.04,155.70,0.00015570,8VbetSGDVCB8GJxF2r8TeQK9ZrkaKA7LuLYpi2Mp7wtv,"fomo",1223.48,0.00,335,3PPyeWngVmnZk4x9wcVqji4fLa3gMEEByUbjhaHJ9FrnzsHkkagtEBhCt5E34r8JVNSWV9KtHyDXqXh14UYJrBUo
9,2026-06-28 00:55:54.000,"6/28/2026, 7:55:54 AM",SELL,-1.4762,-6.2745,-104.39,-443.46,1.4762,596559.07,104.39,0.00017498,FYX5JQ2kP7TD8gWb9WP1tjmwWWUAzi8edEZTr5Z8F1ck,"bundler",793.87,0.00,3926,4FtauGcseNAkM8n4ENXgTfBTX3cWcw96P8Q3T57ARdmD68etWXfzNP2SnLzy6ETY58xFNdYjSikEDnwMzxE7zHqy
10,2026-06-28 00:55:54.000,"6/28/2026, 7:55:54 AM",BUY,3.6641,-2.6104,259.09,-184.37,3.6641,1565742.03,259.09,0.00016547,FUCdBqE1Q5CWUntaoR7VhjRu8vUAZemuS3cimJTxtEiC,"axiom; fomo; paper_hands",31146.94,0.00,163,3kLbYuT2XZvTgs2ZVfMqCqGsN7TG4TMtqcrUaRAsVjSnk85TYbTYtuY8JW5m95zJ39DER2f2Q5jjMRuYMnrFsJ5h
11,2026-06-28 00:55:55.000,"6/28/2026, 7:55:55 AM",BUY,0.2439,-2.3665,17.25,-167.12,0.2439,97747.14,17.25,0.00017647,8ye8pkkJowEwFBSdgRALWoc9mAoHUuHmPNKwMpXB68WP,"bundler",149.08,0.00,106,CSL7fCt9FoDFoQViW2gMrxGrKpdJpstfhM99aHvzFQkandXcU4zq6T5qnSSj7oYs4s2CcZtfmQgzXbeVcDCx9Qk
12,2026-06-28 00:58:38.000,"6/28/2026, 7:58:38 AM",BUY,0.4955,-1.8709,35.06,-132.06,0.4955,198002.46,35.06,0.00017707,FbX3DMnPUSKetorznfqKVfqHpFxpgdoqJ8tAiPGNAkt1,"",-0.85,0.00,2,5AghC1BUERBpgJVcYCJGJpH66UfKnwFmgn2ZWSLG9BaCDkz6xc2vnqMNuJbZm3hbMLKHZhKcPMRHixLM3rqKfBL4
13,2026-06-28 01:00:35.000,"6/28/2026, 8:00:35 AM",SELL,-0.4891,-2.3601,-34.58,-166.64,0.4891,198002.46,34.58,0.00017465,FbX3DMnPUSKetorznfqKVfqHpFxpgdoqJ8tAiPGNAkt1,"",-0.85,0.00,2,3swRRX1zaAGAxFacdUjDS6xRVyp74cvX35GmatpCdzZi1CHeBjqjuBaLtefruNxnMjk2cmhJKr7uMzVojAWpRdNe
14,2026-06-28 01:00:46.000,"6/28/2026, 8:00:46 AM",SELL,-0.6668,-3.0269,-47.15,-213.79,0.6668,271097.81,47.15,0.00017392,65F4jSxcVFBRAyj3AiNab8BTwKpWWVxPPJXjsoFWyz43,"gmgn",162.89,0.00,175,3M9o8NcNoiAZJaSU85vQNpEJL553QV5CwPEg7WHXhC62npSGZkNmdxyV9NQTreGZWvgmh4vYLkwiKd7b39j2XH8w
15,2026-06-28 01:07:53.000,"6/28/2026, 8:07:53 AM",BUY,0.8695,-2.1574,61.33,-152.46,0.8695,352525.38,61.33,0.00017398,5228CjdEp17x3THvk3VJh17keG2PZppzEYp4KrEAzKFc,"",16211.47,0.00,77,Tw4k4ifVZrN6iGK6jw5fGfeCwLHgdps4jYbUUbHG9oz7LxYQoXrdhkahBmDLHJJFyb1A9PeE6kMcz7kEhDotDsd
16,2026-06-28 01:09:25.000,"6/28/2026, 8:09:25 AM",BUY,0.4460,-1.7114,31.46,-121.00,0.4460,173883.53,31.46,0.00018095,8EzKCkmYr5JJRQU2QS7pz6FFi6wMkeTStMV3R5cZwH94,"",-6.96,0.00,2,59w2Gv1bsJRMnMYPdyJJKqkGgiy9wzN61F9wHXPpiuvgzyXDNpd3qoJF5GBtujUhAMbqotUKpDUNKNhXXmiinwra
17,2026-06-28 01:09:54.000,"6/28/2026, 8:09:54 AM",SELL,-0.2533,-1.9648,-17.86,-138.86,0.2533,100000.00,17.86,0.00017863,8VeftGnmTUFyfjPsYGvVqibS98VXPr6SLNVq9fkH1At6,"axiom",2200.02,0.00,85,5vPKhtgzgqTFptQikYdxqK6g5KmJYxAXnUGCSXCMothTWMR4mxMUAgWi7Nmi2fKr5Te3TqXbN1SsMt3EccHQNZGg
18,2026-06-28 01:15:53.000,"6/28/2026, 8:15:53 AM",SELL,-0.2524,-2.2172,-17.81,-156.67,0.2524,99827.05,17.81,0.00017842,2MZDfg4z2pbKwQD8ziWcfCbD7vasPrGZ4fDVW7LAC7eH,"",207.69,0.00,22,2RELCEAFPy9q9DtVexo4P4TrmbAfyEekxtgUPiqRZjwNW9HT8HR4DuRKtyyF1JFgQZo9drBzK4kiqhhVSadzTxiY
19,2026-06-28 01:20:54.000,"6/28/2026, 8:20:54 AM",BUY,0.8267,-1.3905,58.43,-98.24,0.8267,328512.08,58.43,0.00017786,4nZXpUpcKMfxWeHeVdMNCgptQ1susTzy6J2XLDei8WkX,"fomo; paper_hands",-78.04,0.00,18,2Sn4xVpM6GA3tvw7bmeydWSELbNu8xwd324qEx72MQNLxG2y5RWTyRxTzoY2dEHUgWqwcMN5wrnchRWVCUur947o
20,2026-06-28 01:20:55.000,"6/28/2026, 8:20:55 AM",SELL,-0.3787,-1.7692,-26.77,-125.01,0.3787,148242.99,26.77,0.00018059,EYvwg12vXcUN7pF1fASQZZgQ9RbVUMLjKqqCfi961ptw,"bluechip_owner",647.90,102265.62,752,4EtV3rGHxWRL1UKyuFroxcruugyDkWfsm5hw6eucaRJMfdPsXeGDhYPYqPP44aBQyyM22S7kzzKpTYiKxaNWJcyK
21,2026-06-28 01:29:10.000,"6/28/2026, 8:29:10 AM",BUY,2.1409,0.3717,151.45,26.43,2.1409,821987.06,151.45,0.00018424,7GxCSkSERwqD79cWvrAmEbbV7Zq5BeTLX5AhNVszEvYU,"",-2295.82,0.00,169,342AK59eZv4bruzoUraY4WPjWj4vTcYTniJCcePxknp7dsgAZfeok3iV1q3m6Y6NYhXZnomEeQHTQMub2BWu15YF
22,2026-06-28 01:29:11.000,"6/28/2026, 8:29:11 AM",SELL,-0.4498,-0.0781,-31.82,-5.39,0.4498,167167.63,31.82,0.00019033,EYvwg12vXcUN7pF1fASQZZgQ9RbVUMLjKqqCfi961ptw,"bluechip_owner",647.90,102265.62,752,5atVohPw2wx1Qwk34ATjYWaXJVkS5wn58CdonUF49p8e5cNrxMKuVKm7BjdTeWvj3reDerwaa5EnuyiHSJgj15Mn
23,2026-06-28 01:30:07.000,"6/28/2026, 8:30:07 AM",SELL,-0.3295,-0.4076,-23.32,-28.71,0.3295,122812.88,23.32,0.00018991,3fuga4fDgNY974eJDfBgYX8pwTCW9wtWS9qoxSWdSPRu,"bundler",117.74,0.00,212,pf3kRnqFpWiHCh7RcZkjYHErL3CYD993RWLYpZvhZe19QCQuz1GqBBpxVtdzVU4Mzfffp6H3SjAooMr2en2BSqj
24,2026-06-28 01:31:31.000,"6/28/2026, 8:31:31 AM",SELL,-0.2677,-0.6754,-18.95,-47.66,0.2677,100000.00,18.95,0.00018951,8VeftGnmTUFyfjPsYGvVqibS98VXPr6SLNVq9fkH1At6,"axiom",2200.02,0.00,85,45W2VKVyfTNmHjYtfXW4XqFPFw88CWbGYWi9pBhYD92p6nDXZtGeSq2WU5Y5safqKFeaUScGtfh1acK7wUgoh8Ho
