==========================================================================================
📊 REKAPAN ANALISA CVD (CUMULATIVE VOLUME DELTA) & DATA TRANSAKSI GMGN
==========================================================================================
Token Mint Address,DUYw2p3NC6zDdsSrazV4JdDFKtRk2K4mw764EWs2pump
Timeframe Awal (UTC),2026-07-14 17:00:57.000 UTC
Timeframe Akhir (UTC),2026-08-07 02:25:35.000 UTC
Total Durasi Timeframe,561.41 Jam (23.39 Hari)

--- RINGKASAN METRIK CVD UTAMA ---
FINAL CVD SOL (Net Delta Inflow),-51.6625 SOL
FINAL CVD USD (Net Delta Inflow),$-4010.63
FINAL CVD TOKENS,-160,939,852.435
CVD Bias / Net Inflow Ratio,-2.68% (SELL DOMINANT / DISTRIBUTION)
Total Volume SOL,1924.9773 SOL (Buy: 936.6574 SOL | Sell: 988.3199 SOL)
Total Volume USD,$148852.60 (Buy: $72420.99 | Sell: $76431.61)
Total Transaksi,2882 TX (Buy: 1519 [52.7%] | Sell: 1363 [47.3%])
Unique Traders (Wallets),740 wallets
Top Net Accumulator Wallet,7ULAUNC2BbwXG4gocnReDCFadwsZHi5xTCuCjqNG34bx (+20.909 SOL) [Tags: top_holder]
Top Net Seller Wallet,5tEcHoCkRtvUkcJ4ijiJ9b1qfQAU1dosm6166TMn9yWm (-30.632 SOL) [Tags: fomo]

--- MOMENTUM CVD PER KUARTIL WAKTU (Q1 -> Q4) ---
Kuartil Timeframe,Jumlah TX,Buy Volume (SOL),Sell Volume (SOL),Delta SOL (Net Inflow)
Q1 (2832 TX),2832,923.735,977.790,-54.056 SOL
Q2 (0 TX),0,0.000,0.000,+0.000 SOL
Q3 (0 TX),0,0.000,0.000,+0.000 SOL
Q4 (50 TX),50,12.923,10.529,+2.393 SOL

==========================================================================================
📋 DETAIL TRANSAKSI KRONOLOGIS (LENGKAP DENGAN RUNNING CVD SOL & USD)
==========================================================================================
No,Timestamp (UTC),Waktu Lokal,Arah (BUY/SELL),Delta SOL (+/-),CVD SOL (Cumulative Sum),Delta USD (+/-),CVD USD (Cumulative Sum),SOL Amount,Token Amount,USD Value,Price USD,Wallet Address,Tags (Bundler/Holder/Bot),Realized Profit USD,Current Balance,Total Trades Wallet,Tx Hash
1,2026-07-14 17:00:57.000,"7/15/2026, 12:00:57 AM",SELL,-0.2169,-0.2169,-16.75,-16.75,0.2169,169145.68,16.75,0.00009902,5eXhXpMWMaberegDrF6qWMMHrtWPwo3Kms9LmM2oeyQ4,"fresh_wallet",15.97,0.00,70,ZaM4HYZd278y3jyGNBPFHYkAuDqKg4Ft5gpNmxsiTd4buawFK9LkpqWFUVX4AqQh8sz3B8rvrKnXH61d3A4Cujd
2,2026-07-14 17:02:07.000,"7/15/2026, 12:02:07 AM",BUY,0.3168,0.0999,24.47,7.72,0.3168,270840.54,24.47,0.00009036,HAdzmH683k8M3yusiU9ce1Y4ZwzesAAZ1gw9WyqNJ6jr,"bundler",-14.67,0.00,8,2VEzsNCxjKjjTxb2U6xYkvxJwcgjRyU271Z1bLpZeKoXnrsRmMGsunM263NgRurotQJbcfeghDVEXHXdUMGSwYkA
3,2026-07-14 17:02:07.000,"7/15/2026, 12:02:07 AM",BUY,0.4158,0.5158,32.12,39.84,0.4158,356846.16,32.12,0.00009001,9NXNywh7n8d8ihgUY2FcJn9hEPwXkYCdLyBdbFiDm4rs,"bundler",12.85,0.00,6,45gYK317MBVsiKNY4V5UXfRwBzRmbnSh1VogUXr5M8fDVPsziu4uXpk7xH8dr1StzBokieH9Wg2sTU8LoTSMLEuG
4,2026-07-14 17:02:07.000,"7/15/2026, 12:02:07 AM",BUY,0.4158,0.9316,32.12,71.96,0.4158,358701.95,32.12,0.00008955,HCbUg1XAGANvqC2ndauyNVZsAHhrUgoYv4gV18LHFm8i,"paper_hands; bundler",10.29,0.00,12,2rqw7KybMvU2UY3aqk8336oQiWVgMgiwNPJ6FTxkgWv9ddxa2tmTspPh95Cruz157AikJ97aKUNyBT2yRPHf8ii8
5,2026-07-14 17:02:07.000,"7/15/2026, 12:02:07 AM",BUY,0.8380,1.7696,64.73,136.69,0.8380,728327.21,64.73,0.00008887,DY5qAVztKXXPMY9enjbgvJxn6wPPZ1Ek34Jp3xJm4Lct,"paper_hands; bundler",-185.29,0.00,2423,34jx9frsYffoFVoyjedHwLZNv4wTKRBMerhejvYJGG1PBFEvT9RGwUf1tzDmiZiw9YtiyCcytbyetUtcM6ZcCMA2
6,2026-07-14 17:02:07.000,"7/15/2026, 12:02:07 AM",SELL,-0.1535,1.6161,-11.86,124.83,0.1535,135904.74,11.86,0.00008725,7dGrdJRYtsNR8UYxZ3TnifXGjGc9eRYLq9sELwYpuuUu,"sandwich_bot; bluechip_owner",162.18,0.02,347,67GBYN3s1NNQmTZ92jzKTc4axHvjmqEyRGugwfHVbvLcYFCiUmm3MdWJDw4uLzR56wCzCWAyKZ1Hif18ShKvGmG5
7,2026-07-14 17:02:07.000,"7/15/2026, 12:02:07 AM",BUY,0.1430,1.7591,11.05,135.88,0.1430,135904.74,11.05,0.00008128,7dGrdJRYtsNR8UYxZ3TnifXGjGc9eRYLq9sELwYpuuUu,"sandwich_bot; bluechip_owner",162.18,0.02,347,67GBYN3s1NNQmTZ92jzKTc4axHvjmqEyRGugwfHVbvLcYFCiUmm3MdWJDw4uLzR56wCzCWAyKZ1Hif18ShKvGmG5
8,2026-07-14 17:02:07.000,"7/15/2026, 12:02:07 AM",BUY,3.3869,5.1459,261.60,397.48,3.3869,3017622.95,261.60,0.00008669,13VK7ZrRrx1uZ4Frm2TjacNsbipun21qqifE8wibPVys,"paper_hands; bundler",-78.67,0.00,58,2qfoJfpyM5nmtjxXkUFSy36Zs2agNDZSZidtR7uA2YqxC9AvZuvv3r5ooEsFUoc71J6w8hsr1SbUfZu5XDRxqGgZ
9,2026-07-14 17:02:07.000,"7/15/2026, 12:02:07 AM",BUY,3.6783,8.8242,284.11,681.59,3.6783,3429432.60,284.11,0.00008284,popo3Rj6arKNttyUFpWfbkv2gG8uS13TGtmH6JPMuHz,"paper_hands; bundler",209.77,0.00,48,35TZ2J3u8YjWLBq86CzugwwwRP54vkVKz4PkRGQWA1TpoGBcgCJrrxctXdU2F894WyerhnWDThJ1yACENKQcUukx
10,2026-07-14 17:02:07.000,"7/15/2026, 12:02:07 AM",SELL,-0.1588,8.6654,-12.26,669.32,0.1588,153601.84,12.26,0.00007985,MRiYA4oN3158fCV8evhuCofrDzbHyYvYnGZUDJvoCsa,"bluechip_owner",1485.70,0.00,842,2yBmpJPCTro4iDzaHj5CkEQ9uGAbkLAFQnF1haLNWT9GpmCwEi85sVPuHQ6jFYdVCjhwvTy9KT7U6vXNrtMjcMsH
