==========================================================================================
📊 REKAPAN ANALISA CVD (CUMULATIVE VOLUME DELTA) - HANYA BUY & SELL
==========================================================================================
Token Mint Address,H78WENHosTWPFuQvtm8swi83ipTqANJi921iG51Apump
Timeframe Awal (UTC),2026-08-03 00:02:51.000 UTC
Timeframe Akhir (UTC),2026-08-03 23:42:25.000 UTC
Total Durasi Timeframe,23.66 Jam (0.99 Hari)

--- RINGKASAN METRIK CVD UTAMA ---
FINAL CVD SOL (Net Delta Inflow),+28.6239 SOL
FINAL CVD USD (Net Delta Inflow),+$2085.76
FINAL CVD TOKENS,+48,313,755.548
CVD Bias / Net Inflow Ratio,2.10% (BUY DOMINANT / ACCUMULATION)
Total Volume SOL,1359.8264 SOL (Buy: 694.2252 SOL | Sell: 665.6013 SOL)
Total Volume USD,$99613.55 (Buy: $50849.65 | Sell: $48763.90)
Total Transaksi Buy & Sell,1773 TX (Buy: 942 [53.1%] | Sell: 831 [46.9%])
Unique Traders (Wallets),423 wallets
Top Net Accumulator Wallet,52CasWeADLAkDARemvcggYvX55rRLWNCK7imb1jUX4Zc (+13.182 SOL) [Tags: top_holder]
Top Net Seller Wallet,FGvGUQjZb1gGkmEjBf3SvTfoyokWxwBCSk8NTYt5KrFx (-14.931 SOL) [Tags: fresh_wallet; fomo; top_holder]

--- MOMENTUM CVD PER KUARTIL WAKTU (Q1 -> Q4) ---
Kuartil Timeframe,Jumlah TX,Buy Volume (SOL),Sell Volume (SOL),Delta SOL (Net Inflow)
Q1 (913 TX),913,356.952,333.977,+22.976 SOL
Q2 (262 TX),262,109.062,98.592,+10.471 SOL
Q3 (408 TX),408,148.090,150.722,-2.632 SOL
Q4 (190 TX),190,80.120,82.311,-2.190 SOL

==========================================================================================
📋 DETAIL TRANSAKSI BUY & SELL (LENGKAP DENGAN RUNNING CVD SOL & USD)
==========================================================================================
No,Timestamp (UTC),Waktu Lokal,Arah (BUY/SELL),Delta SOL (+/-),CVD SOL (Cumulative Sum),Delta USD (+/-),CVD USD (Cumulative Sum),SOL Amount,Token Amount,USD Value,Price USD,Wallet Address,Tags (Bundler/Holder/Bot),Realized Profit USD,Current Balance,Total Trades Wallet,Tx Hash
1,2026-08-03 00:02:51.000,"8/3/2026, 7:02:51 AM",BUY,0.0000,0.0000,0.00,0.00,0.0000,53.20,0.00,0.00002467,52PZLb3bURq25P9Mu2nqS753v4phFMuNWn27toq1yfiE,"",0.00,728.35,2,4VLGoRNqN4gbwLBhjWoknkifBnFHATxHCPxVdrR8NxYFVEAbGNwX3fCN7htWTrkycyskNgExxtFcJk5As9HxKfVP
2,2026-08-03 00:08:53.000,"8/3/2026, 7:08:53 AM",BUY,0.0006,0.0006,0.04,0.05,0.0006,1763.67,0.04,0.00002522,Aq2k8jUhUvnTt6uBpuZLhFf5UCotUf8UszakYVREGjDT,"",-1.86,0.00,5,4GT18PX88bDZPjhFXczKCecJXnVZo3SHJGyX2LJnneVuAr4axTzxfypCkH8EJNMP3iYb8sKJJsmJy9HXfkFaDQZS
3,2026-08-03 00:10:05.000,"8/3/2026, 7:10:05 AM",SELL,-0.1343,-0.1337,-9.87,-9.83,0.1343,396900.42,9.87,0.00002488,996RBNV4jsV2E2BoJ3V1frCXfcZa3fCPPLGwh5EjWfFm,"fresh_wallet",-151.46,0.00,114,86VVDwcrHRH1qQKkXUkJxpY6ZKvrGZokjkgAgyfWHNL4GboHPGg2NUkUPd4GamsQeykknFN63rcqkAD2zUC66Aw
4,2026-08-03 00:10:34.000,"8/3/2026, 7:10:34 AM",BUY,0.0003,-0.1334,0.02,-9.81,0.0003,811.01,0.02,0.00002516,9HUeZ2SNvF14EgERS52DHYSUi2KSYpQnG8mVJoX7awKa,"bluechip_owner",0.00,368991.35,36,5JDJzz28HjS8a7nppNrsG8GseK1vjnk2uceJU1qAqKU3rdWp5DsxEKAErTqnooCorb2p8FUzwyHwHfEmNDbFR7uB
5,2026-08-03 00:16:44.000,"8/3/2026, 7:16:44 AM",SELL,-0.3137,-0.4471,-23.05,-32.86,0.3137,930917.39,23.05,0.00002476,5M31edp6Kd9dQ7A2ypMLCsxZ8dLJzv5qubeHJhAjnJYm,"bluechip_owner",-345.62,0.00,2,674FC4WDzxxbAkFM9wC1Ftm9xQYR3CzitUaQKeR9LBo27UZsNfoJX5coE4mdC5DEtXuNyS4iTyG1YMJkF4uftzwq
6,2026-08-03 00:18:34.000,"8/3/2026, 7:18:34 AM",BUY,0.0990,-0.3481,7.28,-25.58,0.0990,227183.02,7.28,0.00003202,2FLhxL6yzKqJsBCXtgrSWjRLnYwCUkdXVunvEVhTm7oC,"fresh_wallet; gmgn",-4.93,368091.30,6,4h3Sq7pbPYjMaPfauuL6uQ7XACsnix9tCcvXPvWEpGkwy8apC4j5XKCy7RGeKqansu2hYjmtJxbxCcHUCzQJackE
7,2026-08-03 00:18:34.000,"8/3/2026, 7:18:34 AM",SELL,-0.0119,-0.3600,-0.87,-26.46,0.0119,27696.68,0.87,0.00003155,CQwT1byuHgjKnL6vzmuNaAywKfDBVxDmFVgsQDBWxcWt,"sandwich_bot; bluechip_owner",10.52,0.00,84,5UqfuzdCq7PerRx4cCJ6nTtY92PMUPJetFVhVS5dYeJB4eDYqjR69p45Yq2G7FUyLo4jMPoiUGw8C1CWvy8yTCvG
8,2026-08-03 00:18:34.000,"8/3/2026, 7:18:34 AM",BUY,0.0114,-0.3486,0.84,-25.62,0.0114,27696.68,0.84,0.00003025,CQwT1byuHgjKnL6vzmuNaAywKfDBVxDmFVgsQDBWxcWt,"sandwich_bot; bluechip_owner",10.52,0.00,84,5UqfuzdCq7PerRx4cCJ6nTtY92PMUPJetFVhVS5dYeJB4eDYqjR69p45Yq2G7FUyLo4jMPoiUGw8C1CWvy8yTCvG
9,2026-08-03 00:18:34.000,"8/3/2026, 7:18:34 AM",SELL,-0.0010,-0.3496,-0.07,-25.69,0.0010,2257.41,0.07,0.00003156,DpvrxeCWz7AhT1swHXkgNWBRGmKg2TvGHQACDjuDH7MR,"",10.04,0.00,68,4RnRxvjohfhjoJ1RZuyfdGUZ9zY3YtypKRB4kjzU3D6XuxW8SoZH7kbWKDbcq8VdV9y2MbRRmxCbtNzyi1T42nf6
10,2026-08-03 00:18:34.000,"8/3/2026, 7:18:34 AM",BUY,0.0008,-0.3488,0.06,-25.63,0.0008,2257.41,0.06,0.00002542,DpvrxeCWz7AhT1swHXkgNWBRGmKg2TvGHQACDjuDH7MR,"",10.04,0.00,68,4RnRxvjohfhjoJ1RZuyfdGUZ9zY3YtypKRB4kjzU3D6XuxW8SoZH7kbWKDbcq8VdV9y2MbRRmxCbtNzyi1T42nf6
11,2026-08-03 00:18:34.000,"8/3/2026, 7:18:34 AM",BUY,7.9028,7.5540,580.70,555.06,7.9028,19529206.86,580.70,0.00002973,FWFMeT7zG9USWGhq75EgnE7D8opQBT7cSDFV8gFhuugn,"fresh_wallet; top_holder",462.73,0.00,15,5iS9Gt5oBRNTyrA3vpWj5iVmkQXuEF9w3GcX2EpHhQSmGUg89FtD7yBkD9sogZHp1AASUS5WshbAPkcfULTRqECy
12,2026-08-03 00:18:34.000,"8/3/2026, 7:18:34 AM",BUY,5.2713,12.8254,387.34,942.40,5.2713,14725603.53,387.34,0.00002630,9BMzTpSo4URse1oN666pmexhdjpU1vA5p7LtroCFQdLU,"fomo; top_holder; bundler",-259.63,45271548.91,37,4MjvUmLRDw6qgze7UDc9QjixQuRwPHyV6Bx49zSWefeKFPNi7c6eAnkiHuLyQtco1nBmCmzEUjCZjRGaSu26Yo6X
13,2026-08-03 00:18:36.000,"8/3/2026, 7:18:36 AM",BUY,1.1001,13.9255,80.84,1023.24,1.1001,2498058.05,80.84,0.00003236,VVV4C8wbLVU5Yw2JmdF7SPmoG2ubmJmmcjzHAJcdHgH,"kol; smart_degen; gmgn",384.31,0.00,42,2taGPDdNdLaeZnAAawnoG7Ni3TCr5jEdzpDvhydVvF9TmbXJdcP9PQkpXEirtNFdUhdDjycoEuJxVj1oP7QsmYbJ
14,2026-08-03 00:18:37.000,"8/3/2026, 7:18:37 AM",BUY,1.1001,15.0256,80.84,1104.08,1.1001,2317399.53,80.84,0.00003488,VVV4C8wbLVU5Yw2JmdF7SPmoG2ubmJmmcjzHAJcdHgH,"kol; smart_degen; gmgn; top_holder",384.31,0.00,42,3WXCKsUaMCw4t1rrFRRyTp422g1TQhRdFxMchxdD62CeSHwCufxZkYKZRk7F7fvmxAQyyq391utJWCT8f1Ax9K6N
15,2026-08-03 00:18:37.000,"8/3/2026, 7:18:37 AM",SELL,-0.0056,15.0201,-0.41,1103.67,0.0056,12052.43,0.41,0.00003408,BSfQT2AmdxQfpsGQANrcYEUcwta5PWuTfBkHxqsZ3Gz8,"gmgn; bluechip_owner",10.68,0.00,111,5yKzLtoVEvcdqYMcGkpK8mEVFCBqSNU99hyYuFbwR763rqGn9auX7ZpLdpeML1LP1ZhMo7VpJcpRVfXv2AMJoDg5
16,2026-08-03 00:18:37.000,"8/3/2026, 7:18:37 AM",BUY,0.0054,15.0254,0.39,1104.06,0.0054,12052.43,0.39,0.00003266,BSfQT2AmdxQfpsGQANrcYEUcwta5PWuTfBkHxqsZ3Gz8,"gmgn; bluechip_owner",10.68,0.00,111,5yKzLtoVEvcdqYMcGkpK8mEVFCBqSNU99hyYuFbwR763rqGn9auX7ZpLdpeML1LP1ZhMo7VpJcpRVfXv2AMJoDg5
17,2026-08-03 00:18:37.000,"8/3/2026, 7:18:37 AM",BUY,1.1001,16.1255,80.84,1184.90,1.1001,2360510.95,80.84,0.00003425,VVV4C8wbLVU5Yw2JmdF7SPmoG2ubmJmmcjzHAJcdHgH,"kol; smart_degen; gmgn; top_holder",384.31,0.00,42,4fj5tL5qTnAojoHJpVJWtwKkhmG8H62iYo5jaz3eKKkzLkVZRxxdJLNFFCmq3kzA2cboKKR7PuAL2thEJhJ78ERq
18,2026-08-03 00:18:37.000,"8/3/2026, 7:18:37 AM",BUY,1.1001,17.2257,80.84,1265.74,1.1001,2405069.50,80.84,0.00003361,VVV4C8wbLVU5Yw2JmdF7SPmoG2ubmJmmcjzHAJcdHgH,"kol; smart_degen; gmgn; top_holder",384.31,0.00,42,3D1vCwUyGbFMXatwf125cstkWQaS41xd9gXe4C1Kq9xwCmh88FFXJHm3PfmHLojVgBXoXZA7nTcFvArEkD2wHKZy
19,2026-08-03 00:18:37.000,"8/3/2026, 7:18:37 AM",BUY,1.1001,18.3258,80.84,1346.57,1.1001,2450902.18,80.84,0.00003298,VVV4C8wbLVU5Yw2JmdF7SPmoG2ubmJmmcjzHAJcdHgH,"kol; smart_degen; gmgn; top_holder",384.31,0.00,42,21LjHJjZGcr3d21iJwirisZBwZrvXt75F2NuEQ3by9H4byBzP6Rdqy835XCix13YvdQKGLhFpWvT3irpoW1xpWbr
20,2026-08-03 00:18:38.000,"8/3/2026, 7:18:38 AM",BUY,4.6966,23.0224,345.10,1691.68,4.6966,8634418.26,345.10,0.00003997,HeKVi3by7k8FkPVMBDrdcKuHUBB867qs5dbqAPrkb6K3,"fomo",161.47,0.00,4,4bX2xvVgibmr6cinSinPLRfpkqKWsmRNET2ycyCdyDgY4Ric3kvPcFhVGjEGwARXxawoGQsT4JxrPp8MzEFYHCaF
21,2026-08-03 00:18:38.000,"8/3/2026, 7:18:38 AM",SELL,-0.0001,23.0223,-0.01,1691.67,0.0001,146.82,0.01,0.00003799,HuTshmtwcQkWBLzgW3m4uwcmik7Lmz4YFpYcTqMJpXiP,"sandwich_bot; bluechip_owner; bundler",-771.32,0.00,2342,3eKSLkTKpruhyZ9ViC4ipUCPCRECLZ6TDbG6VNVrHTAEARuhC3oUYP8RrzBYtGykDJhDykdJdLqBpa7SxGP8MLfm
22,2026-08-03 00:18:38.000,"8/3/2026, 7:18:38 AM",BUY,0.0001,23.0224,0.01,1691.68,0.0001,146.82,0.01,0.00003673,HuTshmtwcQkWBLzgW3m4uwcmik7Lmz4YFpYcTqMJpXiP,"sandwich_bot; bluechip_owner; bundler",-771.32,0.00,2342,3eKSLkTKpruhyZ9ViC4ipUCPCRECLZ6TDbG6VNVrHTAEARuhC3oUYP8RrzBYtGykDJhDykdJdLqBpa7SxGP8MLfm
