==========================================================================================
📊 REKAPAN ANALISA CVD (CUMULATIVE VOLUME DELTA) - HANYA BUY & SELL
==========================================================================================
Token Mint Address,H78WENHosTWPFuQvtm8swi83ipTqANJi921iG51Apump
Timeframe Awal (UTC),2026-08-01 00:00:55.000 UTC
Timeframe Akhir (UTC),2026-08-01 23:59:28.000 UTC
Total Durasi Timeframe,23.98 Jam (1.00 Hari)

--- RINGKASAN METRIK CVD UTAMA ---
FINAL CVD SOL (Net Delta Inflow),-44.1587 SOL
FINAL CVD USD (Net Delta Inflow),$-3203.50
FINAL CVD TOKENS,-90,432,067.078
CVD Bias / Net Inflow Ratio,-3.58% (SELL DOMINANT / DISTRIBUTION)
Total Volume SOL,1233.4882 SOL (Buy: 594.6647 SOL | Sell: 638.8234 SOL)
Total Volume USD,$89590.88 (Buy: $43193.69 | Sell: $46397.19)
Total Transaksi Buy & Sell,2584 TX (Buy: 1154 [44.7%] | Sell: 1430 [55.3%])
Unique Traders (Wallets),714 wallets
Top Net Accumulator Wallet,FGvGUQjZb1gGkmEjBf3SvTfoyokWxwBCSk8NTYt5KrFx (+13.454 SOL) [Tags: fresh_wallet; fomo; top_holder]
Top Net Seller Wallet,AiFpCzsDCXg5hnSUXkfYFmPBivnqfxgRjPE3Rr3Hr5Bu (-22.133 SOL) [Tags: top_holder]

--- MOMENTUM CVD PER KUARTIL WAKTU (Q1 -> Q4) ---
Kuartil Timeframe,Jumlah TX,Buy Volume (SOL),Sell Volume (SOL),Delta SOL (Net Inflow)
Q1 (1118 TX),1118,154.599,191.236,-36.637 SOL
Q2 (613 TX),613,134.860,122.462,+12.398 SOL
Q3 (486 TX),486,176.976,182.763,-5.787 SOL
Q4 (367 TX),367,128.230,142.362,-14.133 SOL

==========================================================================================
📋 DETAIL TRANSAKSI BUY & SELL (LENGKAP DENGAN RUNNING CVD SOL & USD)
==========================================================================================
No,Timestamp (UTC),Waktu Lokal,Arah (BUY/SELL),Delta SOL (+/-),CVD SOL (Cumulative Sum),Delta USD (+/-),CVD USD (Cumulative Sum),SOL Amount,Token Amount,USD Value,Price USD,Wallet Address,Tags (Bundler/Holder/Bot),Realized Profit USD,Current Balance,Total Trades Wallet,Tx Hash
1,2026-08-01 00:00:55.000,"8/1/2026, 7:00:55 AM",SELL,-0.0392,-0.0392,-2.86,-2.86,0.0392,37499.25,2.86,0.00007628,FYX5JQ2kP7TD8gWb9WP1tjmwWWUAzi8edEZTr5Z8F1ck,"bundler",621.41,0.00,2278,3qm5gHHyeMXCcNG2r4ajpokN4VNCAVvrwG5uPhVqrHFsGnTtZMCENPYzYX4Kf4XxwVQj8tjReGdDQETaEedEYJCx
2,2026-08-01 00:01:01.000,"8/1/2026, 7:01:01 AM",BUY,0.2957,0.2565,21.56,18.70,0.2957,278298.60,21.56,0.00007747,4MxrjTbeMAJg7NAuBHEJcAMJKXd3Nja5Z8GjyFAEuFuw,"fresh_wallet; fomo",-13.65,0.00,5,2fYfgq3Pdidx7rsfDyyG1DGP2E5YQZaGntgkYuNDwmKF8RvJLiXtqno1HqqJBUgnQNGXhWoZpC2Fv1E6GwHJUQVe
3,2026-08-01 00:01:06.000,"8/1/2026, 7:01:06 AM",BUY,0.1359,0.3924,9.91,28.61,0.1359,127582.44,9.91,0.00007765,2orgU91UbhLpRAzqH7aBGgSJCQJUXBBbauXaAdP7wTVb,"",-85.59,0.00,34,4EbhNHUufB3YLpKdYu9u2UL3Ai1x1yMAGCUEeoP5yZ8YNe8v65a1Hv1ci9qrg2LLH1ToohtSRHBTKN98Z6C5oR1T
4,2026-08-01 00:01:28.000,"8/1/2026, 7:01:28 AM",SELL,-0.3557,0.0367,-25.93,2.68,0.3557,339088.22,25.93,0.00007647,EAidw5iCBNh91raCxfMMJa1R3QFtYnk9SAreqDsnpJYH,"fomo; bundler",0.06,0.00,38,59or2ZLXxki2MsdZ3tPxi7L2a2wJ5DeRazUKRswmLgyYuivSGCESbkQfbSuCvrXmL3Gv1ZJtpL4iUDdnqEo4dXPC
5,2026-08-01 00:01:36.000,"8/1/2026, 7:01:36 AM",BUY,0.2664,0.3031,19.42,22.10,0.2664,250550.06,19.42,0.00007751,5bjtYFB4rBpQvryCbtVc1T4TGZLBbP6zEcmXfd5M6f9G,"fomo; paper_hands",0.03,0.00,5,5LMrVdWtnz1x6pbbaGwqi1rPAeHZ2D5bzGAgK4qcvZxH5yzR6a6p2jj95RHSvHvMPouzLyxzh7szjXnNhjp6jdhh
6,2026-08-01 00:02:22.000,"8/1/2026, 7:02:22 AM",SELL,-0.0437,0.2595,-3.18,18.91,0.0437,41579.50,3.18,0.00007657,hnu5iBK8UoHb51UFsH1RYTUAYdrhjHvV5YMTf9T1CYN,"bundler",-678.54,0.00,1271,3yToTJaaSNbg4Dmhw4jKVfTdSanEv3PXhwq2DVBJR3Va3RcQAEdnBGvHtG2mQDSpH77E9gf2SqKdCNx3ah7kCLb4
7,2026-08-01 00:03:04.000,"8/1/2026, 7:03:04 AM",SELL,-0.9845,-0.7250,-71.84,-52.93,0.9845,943341.70,71.84,0.00007615,Eh4LsVP79VpDxvoDThKuqyTGz2CoCK2zok7JyNydo5i,"fomo",-1214.42,0.00,69,2Qwtop3ShqLuTiJ1vPhqjxgZhLEenkLxQqdM9M8ynxqvJXcayqQF4LZM7k3uvUkAYsAFvrCk93toqb556Bht5m9x
8,2026-08-01 00:03:30.000,"8/1/2026, 7:03:30 AM",SELL,-0.0391,-0.7641,-2.85,-55.78,0.0391,37640.42,2.85,0.00007568,FYX5JQ2kP7TD8gWb9WP1tjmwWWUAzi8edEZTr5Z8F1ck,"bundler",621.41,0.00,2278,49x5dLQV9h95uNWegn15h98SmuBpUpNfiWtHuCGUxaTa1Qt3rVVEtxZJvqnn3mCZ93F1JPTn4U5a3324hFn3JHLD
9,2026-08-01 00:03:40.000,"8/1/2026, 7:03:40 AM",SELL,-0.0304,-0.7945,-2.22,-57.99,0.0304,29297.14,2.22,0.00007565,AocrzuaUYSbZNQdHpaf529ueXubYZnem2groQxU53RRD,"fresh_wallet; fomo",-17.01,0.00,3,UU3h2zUE8f6EGG5FiUKbuwTABMnbaLkR39UPLUzNUCUZgkEBJ5NmJ1QwLCiiM5zvhc4kRPF6mQ8AmWn8EJF9wqH
10,2026-08-01 00:04:34.000,"8/1/2026, 7:04:34 AM",BUY,0.1358,-0.6587,9.90,-48.09,0.1358,128989.98,9.90,0.00007675,GTHegTDt11gokyFuuN8N12aTBNZPr95PvKKRxP2caREq,"fresh_wallet",0.00,1007878.77,9,2sAQ8yt13zKK9LtcDoZi2P2aJt2uUuZCxuEzHGMKnXW7jjBnEmvzeGEi1mxBtB8ERk7YhCPYU3FxrnbW5uSSpssb
