==========================================================================================
📊 REKAPAN ANALISA CVD (CUMULATIVE VOLUME DELTA) - HANYA BUY & SELL
==========================================================================================
Token Mint Address,NV2RYH954cTJ3ckFUpvfqaQXU4ARqqDH3562nFSpump
Timeframe Awal (UTC),2026-02-06 00:00:12.000 UTC
Timeframe Akhir (UTC),2026-02-06 23:59:24.000 UTC
Total Durasi Timeframe,23.99 Jam (1.00 Hari)

--- RINGKASAN METRIK CVD UTAMA ---
FINAL CVD SOL (Net Delta Inflow),+23.0273 SOL
FINAL CVD USD (Net Delta Inflow),+$1044.49
FINAL CVD TOKENS,-94,128,568.915
CVD Bias / Net Inflow Ratio,0.28% (BUY DOMINANT / ACCUMULATION)
Total Volume SOL,8166.0221 SOL (Buy: 4094.5247 SOL | Sell: 4071.4974 SOL)
Total Volume USD,$663540.70 (Buy: $332292.59 | Sell: $331248.10)
Total Transaksi Buy & Sell,6311 TX (Buy: 3392 [53.7%] | Sell: 2919 [46.3%])
Unique Traders (Wallets),1342 wallets
Top Net Accumulator Wallet,8avtb3GZapmpYWUjXoJYCXfATRBhH8SGQkyDSoqF6CPC (+62.788 SOL) [Tags: bundler]
Top Net Seller Wallet,7cmjac2qNRQDjursDgkNbpsNAmW13warVghYpp2CCGk7 (-93.891 SOL) [Tags: top_holder]

--- MOMENTUM CVD PER KUARTIL WAKTU (Q1 -> Q4) ---
Kuartil Timeframe,Jumlah TX,Buy Volume (SOL),Sell Volume (SOL),Delta SOL (Net Inflow)
Q1 (1835 TX),1835,1609.231,1448.819,+160.411 SOL
Q2 (1069 TX),1069,775.959,797.477,-21.518 SOL
Q3 (2163 TX),2163,1172.203,1234.926,-62.724 SOL
Q4 (1244 TX),1244,537.132,590.274,-53.143 SOL

==========================================================================================
📋 DETAIL TRANSAKSI BUY & SELL (LENGKAP DENGAN RUNNING CVD SOL & USD)
==========================================================================================
No,Timestamp (UTC),Waktu Lokal,Arah (BUY/SELL),Delta SOL (+/-),CVD SOL (Cumulative Sum),Delta USD (+/-),CVD USD (Cumulative Sum),SOL Amount,Token Amount,USD Value,Price USD,Wallet Address,Tags (Bundler/Holder/Bot),Realized Profit USD,Current Balance,Total Trades Wallet,Tx Hash
1,2026-02-06 00:00:12.000,"2/6/2026, 7:00:12 AM",BUY,0.1387,0.1387,10.88,10.88,0.1387,69379.17,10.88,0.00015676,2c1iAzZtkSdiKR2emgGHb15KZ1i313ooyASSnuT39AAV,"",8.88,0.00,6,4ojSEkCurWSkEWnzAFfSX3Q36hNArQuhFrxAKB9CTgmyodVS8NvmLBrh75op9uEgEtc9dMPwiM1Qe3HHEwvGKdvV
2,2026-02-06 00:00:14.000,"2/6/2026, 7:00:14 AM",SELL,-0.0802,0.0585,-6.29,4.58,0.0802,41541.72,6.29,0.00015148,EAjZXbqPq2Y3DJZ2gRYU62QPv2MLwNe6B7ChxnHuCh4j,"gmgn; bundler",-6.77,0.00,25,5wURexwUiRf6QUAN1WXiXJQSRPEEdiVteuGYXniSCtpHn62sdHg7xf9GrBbJCTk1MZ1kXMQiAUfaAbohNNeYzzFZ
3,2026-02-06 00:00:14.000,"2/6/2026, 7:00:14 AM",BUY,0.6024,0.6609,47.26,51.84,0.6024,308689.88,47.26,0.00015309,cLGa4Gmzz1nbgynRuKmTvvb1bacygMjtffX5DKDZGmD,"bundler",216.88,0.00,115,5DRvAoGseTZgD19cmafWT39fzWHqXjvSfLT2ABTAEWcaQkExaBqKyswVtEYMpRA94rpTQA6F9snX3Hvje7ZxPcQ4
4,2026-02-06 00:00:14.000,"2/6/2026, 7:00:14 AM",SELL,-2.7637,-2.1028,-216.81,-164.97,2.7637,1420052.17,216.81,0.00015268,7BNaxx6KdUYrjACNQZ9He26NBFoFxujQMAfNLnArLGH5,"bundler",5494.18,0.00,385,3SDTbZQyjudnJSMQTGpcbKRQoUhhxbWaFtT2MH2mm43DHvWAsiz7FSgGAKoMpVuWNpnugstaFWmsT2ukbVtRNddn
5,2026-02-06 00:00:41.000,"2/6/2026, 7:00:41 AM",SELL,-0.5863,-2.6891,-46.05,-211.02,0.5863,304803.67,46.05,0.00015109,5zTHDj4i7kqpaRJt5ygAxjjqh5LdnFpfw6JWi7rBQXD,"bundler",20.20,0.00,14,3ZKYaeS9ttRmXMmP6E3oJNPG4e9bWHkTncWfNmrmhosgyVeNCfMF1uZPetSKKUvZpRrCLEeqkVLjGB2BLsAadCYh
6,2026-02-06 00:00:47.000,"2/6/2026, 7:00:47 AM",BUY,3.7711,1.0820,296.33,85.31,3.7711,1903821.51,296.33,0.00015565,PzdGScLJRckqHk9WgV2EgmiCNdGScUNEBvZ2TTs5oFA,"",-1319.24,0.00,127,2u9wz4YRHtLbgjFLZFmhJUEJj2rZGAPCUbqSZr8Q1HQUcDwEPDqiBaXGLustEzBxn95hJpxBKNj56tAxxZgnmDyP
7,2026-02-06 00:00:53.000,"2/6/2026, 7:00:53 AM",SELL,-0.0734,1.0086,-5.77,79.54,0.0734,36873.37,5.77,0.00015652,SYDYPCGHW7iNELGCzJ9Diy2qxiBiBqAJABrf8ho1ndG,"",11.28,0.00,4,4oDW1i2pb4ipzWZuLhDYG96eXnms7vV9sMzsyuCjKUAQTZVypAYBUaVM5e6wn9T9GeXiMpf6TZLd8qbhwPaRE9Yz
8,2026-02-06 00:01:00.000,"2/6/2026, 7:01:00 AM",BUY,0.1827,1.1913,14.39,93.93,0.1827,90511.70,14.39,0.00015897,9mWPbFznxDKEW32rutLSiqXQSLw9Sccu5z1ePnWtnc89,"",8.00,0.00,3,2iRgkPf3NYsMmVijnJuYNCAqPcvC5z8Qi4kVDzHNR2juSZuud85guCLKs9oPCN41eZvpVee9XjEf8pBZcyTrvzDt
9,2026-02-06 00:01:08.000,"2/6/2026, 7:01:08 AM",SELL,-0.2313,0.9600,-18.20,75.72,0.2313,116171.04,18.20,0.00015671,BbkQRgjBtWGkzK5wCWbTjZbkshrUUcHAFdoaLBqPPYbn,"trojan",-84.48,0.00,56,5zadU5udrQK3EyjzAVoGd7P4RtwFtWpTjFYYmMbHt33NwMb647fu4FvSC76sZr6tdFJaPLeADik8425yybPcgpXK
10,2026-02-06 00:01:13.000,"2/6/2026, 7:01:13 AM",BUY,0.6248,1.5849,49.09,124.82,0.6248,308957.27,49.09,0.00015890,8LXB6CBnA22oA6e6KANaTXgD1zKHi5mfrTQvzsTVY4dE,"",22.46,0.00,3,57uGQJjhXJ3FWBTVk5o8TaZowT5D342zrxjAhNQTi9ABtc2bm7avphkShE3tbgVY2DMvtdJLxe9DnC1GjkyKoxre
11,2026-02-06 00:01:18.000,"2/6/2026, 7:01:18 AM",BUY,0.0937,1.6786,7.36,132.18,0.0937,46174.58,7.36,0.00015938,9eSJS8LmRWqG9isS7ptYqmGr5YCFdvvBvdk5hmGQVMk7,"",12.85,0.00,16,28hC8eYPY7aWf8uoFNC7ThDQWLXd45Ejw7bFMBTz9CGaxVVb5U8mbMANW3LKPuVnXAZA5REjd1MhcEUmdzSJFBLm
12,2026-02-06 00:01:25.000,"2/6/2026, 7:01:25 AM",BUY,0.9807,2.6593,77.18,209.36,0.9807,480693.66,77.18,0.00016056,4UU4VH4QbBscrrot2T3sWM6d1XLTp4ELmXWb4TVxscnd,"gmgn; axiom",336.89,0.00,30,2ztYcZjGkh5ikCi8yZLZzwPx7CL1TEkaJaPHDoRUCRcCz57CekTS3kPEXawxKifAdY1vPKteC4aQer36zMmf7t7o
13,2026-02-06 00:01:52.000,"2/6/2026, 7:01:52 AM",BUY,0.3127,2.9719,24.47,233.83,0.3127,152242.36,24.47,0.00016074,7FYZwgGUZvoLmXwxLMG8MC4g7yo31kH5HLsVbFsMvxGK,"",-104.77,0.00,14,2ExXGmL3VyxKgpk1EE4U8L1sHZcR7PTSkJjoiuNbJE6LV7PV96kjQTKCNGREUpzXAKbdZqZqnVFg8LEtsAkqXLjD
14,2026-02-06 00:01:52.000,"2/6/2026, 7:01:52 AM",BUY,0.0774,3.0494,6.06,239.89,0.0774,37783.75,6.06,0.00016044,GiaDQPvBJJQTso6L3GCc2xU5ZeMWpAJtUD88Qa15CjW4,"",20.00,0.00,179,64k85t4PGdaWPz53JnH441rH5wDa6jP73hHXn7mfqqzTRgW4E7hDxA42Nr8fefviN3ddjrqkkFfTfxpeBST8ghiK
15,2026-02-06 00:02:22.000,"2/6/2026, 7:02:22 AM",BUY,1.1509,4.2002,90.15,330.04,1.1509,556209.42,90.15,0.00016207,Ag2Am9ZHTkRyd1G2m6wg7De74QaEpHv5DtcA1bnriG7Y,"",12.32,0.00,4,46Gk9gkDKamVR9LdPZYL8DZZ4gjdAx4RmK4GdJ6JGboZmXMfBACuBGiFos3Mm6414LF2woU8CqsqUhQ6R2qhgTGi
16,2026-02-06 00:02:42.000,"2/6/2026, 7:02:42 AM",BUY,0.1281,4.3284,10.01,340.05,0.1281,61512.54,10.01,0.00016273,63D6Wc7yfvnFHHj5m9sAVavkKKi3yYvUtGdN1Pi2JnrM,"bundler",4.01,0.00,14,64sPs231o3D4FCVXiJd2k58k9RNAAmsJaw446hzuSpCvcvdtocuwv3eR1euzNKMxtcDUB3qrkW8FQD46W7h3TCKu
17,2026-02-06 00:02:56.000,"2/6/2026, 7:02:56 AM",BUY,3.5814,7.9097,279.49,619.54,3.5814,1689046.50,279.49,0.00016547,HxaBcRBiYCyLdyuiUjiNsYjmubJ2pes4CS654F8LXcxH,"",268.75,0.00,12,ennQRA15FkcPSpGBqTCYRhoNhiTMJdmxpi46p9wJejCHJoVSbkr6ANaicNPxKDaaVXUzPC246DzQNrwMikpWceT
18,2026-02-06 00:03:38.000,"2/6/2026, 7:03:38 AM",SELL,-1.5911,6.3186,-123.38,496.16,1.5911,753871.51,123.38,0.00016366,kEFiAX3jo5NmemysQov342TZ9mGh6yp92GDRjhA8XDf,"sandwich_bot; bundler",183.50,0.00,168,7SV16k2xVLu1F1xwahga2KAQn9ozfYK2n1Jowtzo9oXoXtYF1WM9rtiRtyxkLJ3cSkrYNnNMDr9SRXTughPMsyQ
19,2026-02-06 00:03:39.000,"2/6/2026, 7:03:39 AM",SELL,-0.6402,5.6784,-49.61,446.55,0.6402,306623.98,49.61,0.00016180,35LyVVF1KwkCdB6HytXwj7F36LsmrQ99JrR9eMfzWfRG,"bundler",348.67,0.00,1848,2MA69B1JbZsByaQGTq5qYS9ZfEizQXCntkLqKBDpkX1LA913jECZK9SAemUU1wz5k3u7dnnaDdkq3UbrRePSUVFj
20,2026-02-06 00:03:40.000,"2/6/2026, 7:03:40 AM",SELL,-1.9840,3.6944,-153.76,292.79,1.9840,962384.41,153.76,0.00015977,AgEkFUGK8FxfkBJCGaL9iRY4mj8zL5KVi1bEofsbu4BW,"",0.00,0.00,177,3kkJxXD7fHggwUmFQNFVhEQpaCXvWSoxhGhaCNBQfXijjpE8kXk7nH6dUdEgQnr8DT2BsMXURKPzTELrZKiGRXP7
21,2026-02-06 00:04:17.000,"2/6/2026, 7:04:17 AM",BUY,0.9807,4.6751,76.22,369.01,0.9807,471599.92,76.22,0.00016162,Dwp81QWbmnvLkcH3CLvngrqDWYrtqKv4T8Xc87Lhjj3F,"",563.26,0.00,27,3CmF6HmHVpEhkW9z3CbZ3f97bX8aRxLPZbrVoBxHkJzs5BqCjLUmYgijgAok6JtJUDWtNaA2ddtMA7YTwh7joud8
22,2026-02-06 00:04:23.000,"2/6/2026, 7:04:23 AM",BUY,0.4904,5.1655,38.12,407.13,0.4904,234131.95,38.12,0.00016281,FMdPoVUmZXFVP2ThmGKGgvVMnWP732ATsqrhmzKdDAEo,"",179.71,0.00,28,XvSv7aTfaKTJCv4aHpyBXWAbk7989rQZ41YSw1d6ZHkGBzsvGZuCaj7oWGNk7zgGefHiMQsv4iYGZ39hQLJsRYb
23,2026-02-06 00:05:00.000,"2/6/2026, 7:05:00 AM",BUY,0.4928,5.6583,38.27,445.41,0.4928,234204.92,38.27,0.00016342,BB5UrPGAZKXLk71VZRtNiqtDZTPB3gddGGUzJ1y5vCon,"fresh_wallet",-76.37,0.00,49,2tvcnHthVxsLPuQmXNMNZkKZsRrojTP3JoN2ZK1sfMEsP8VbmAViz1XXa5emVPQLJbzABNSWqx1Fm24Xz5YagaQn
24,2026-02-06 00:05:36.000,"2/6/2026, 7:05:36 AM",BUY,0.2561,5.9144,19.77,465.18,0.2561,121288.93,19.77,0.00016303,5UhHhvg9g1982coKb45ZHyED4YfS2jZC9PZ7DPdQSemH,"gmgn",-56.22,0.00,17,2jseoVdqgtBEAGcrX8S9nMv2zEXEs8J8jt6ZkqvcWUCrT3oBE1rBhzaZWG37T1bdTcSyWNeBRwLDuFYMw9GETzfh
25,2026-02-06 00:05:38.000,"2/6/2026, 7:05:38 AM",BUY,0.6198,6.5343,47.79,512.97,0.6198,292358.40,47.79,0.00016346,HnAwcmzRDWv88cyYeZpJz2zmbVqn9Yqrqg6RVpdLLJGu,"bundler",456.97,0.00,567,hpmjbgEUKcinfiESRQjExrA97Sw92JaxCFN3ud1UZg5NpAwug4t6gGJqbFyn9uvNDfDSBk92R4bvzqPPer43Far
26,2026-02-06 00:05:54.000,"2/6/2026, 7:05:54 AM",BUY,25.7908,32.3251,1974.03,2487.00,25.7908,10796766.63,1974.03,0.00018284,8fSnLTnRViK83dDesivTsPx2wiRhwti9xoafeMGjEyLJ,"",43859.19,1.00,43,3vmzUWZ55RcyMqMxRh15hdPkvK8DKi7L2eZwJM1GUggwJNpLdggSy2X8msDUyVJ8FrEF7zb3QxyfJ12BafGJeuLu
27,2026-02-06 00:05:55.000,"2/6/2026, 7:05:55 AM",SELL,-1.7953,30.5298,-137.39,2349.61,1.7953,729063.60,137.39,0.00018845,eGkFSm9YaJ92gEUssj9SRzGwkxsLrpjq6Q5YbKQ9sUf,"bundler",-6.62,0.00,90,2BhEcdHdLoNF7jcjH43K2SqBqY2b4QKBeykXPq5EMVgycsCJBT3eVYJzKrz77K9wJif7KDyg4yjgsmCyhaFYYj2P
28,2026-02-06 00:05:55.000,"2/6/2026, 7:05:55 AM",SELL,-7.2705,23.2593,-556.56,1793.05,7.2705,2837470.38,556.56,0.00019615,5d5apSDc6U3dF3kvuD2VwXURa5tpAR64bTfsbfjSAWgE,"bundler",1289.99,0.00,77,5Zr7N2jbmGSiYdkTNuQevtyp6PH7gNfKZjSSdfBpm7A2KGF2PM9iFqEsp4rRsVa4ezYnhWHmf4pJ5w2SzcKtY4ma
29,2026-02-06 00:05:55.000,"2/6/2026, 7:05:55 AM",SELL,-0.1462,23.1131,-11.19,1781.86,0.1462,55247.30,11.19,0.00020261,4ydhY1paBSepu8Pec91U4sjGAXjhveZmb8gphBP8uxv,"fresh_wallet",5358.47,0.00,8766,271QeC2GUZPZjDX6Q2PVfoQNy5baitQ11kkE2nLrYk5w9anbbTXQ6E28pcKHSijkdnsC1eiW5kH165ak1GF5dTTS
30,2026-02-06 00:05:55.000,"2/6/2026, 7:05:55 AM",BUY,0.1301,23.2431,9.96,1791.81,0.1301,55247.30,9.96,0.00017974,4ydhY1paBSepu8Pec91U4sjGAXjhveZmb8gphBP8uxv,"fresh_wallet",5358.47,0.00,8766,271QeC2GUZPZjDX6Q2PVfoQNy5baitQ11kkE2nLrYk5w9anbbTXQ6E28pcKHSijkdnsC1eiW5kH165ak1GF5dTTS
31,2026-02-06 00:05:56.000,"2/6/2026, 7:05:56 AM",BUY,1.7441,24.9873,133.60,1925.41,1.7441,722610.27,133.60,0.00018489,STorreSu8X6yPLmiEScNHSGDinqV7j84hWjmvH9SPwk,"bundler",174.18,0.00,204,ahhTek1LwUbvyVHCmBJpRi9CwLb8f5DhzeqBmC8Tau6Pz1rSQDT1NEZEJba89hDKvMriLy1rNncAcfM5h7FqKdv
32,2026-02-06 00:05:56.000,"2/6/2026, 7:05:56 AM",SELL,-1.6975,23.2897,-129.86,1795.55,1.6975,713303.55,129.86,0.00018205,STorreSu8X6yPLmiEScNHSGDinqV7j84hWjmvH9SPwk,"bundler",174.18,0.00,204,3BKFkuwxUgLyXUXRE95qz5BYQac65QcRdArpNu69XysqggFzSsj8Kfrhxq1KTTHWg7f5rn67h8ErS9hnyPn1wfRj
33,2026-02-06 00:05:56.000,"2/6/2026, 7:05:56 AM",SELL,-1.9950,21.2948,-152.61,1642.94,1.9950,824015.12,152.61,0.00018521,FSkmRPArUnFFGZuRUdZ1W7vh5Hm7KqgjDQ19UBjW2kbC,"bundler",247.97,0.01,111,48ZwyHYXS3XHEHWPKFSNDjA4uMoyK4Etyvj6agVUGgzL7wN3CFXxRmeALXDGBJqwRMswZ5p5CpGUxZWsDvuViBpJ
