==========================================================================================
📊 REKAPAN ANALISA CVD (CUMULATIVE VOLUME DELTA) - HANYA BUY & SELL
==========================================================================================
Token Mint Address,NV2RYH954cTJ3ckFUpvfqaQXU4ARqqDH3562nFSpump
Timeframe Awal (UTC),2026-02-09 00:03:19.000 UTC
Timeframe Akhir (UTC),2026-02-09 23:59:12.000 UTC
Total Durasi Timeframe,23.93 Jam (1.00 Hari)

--- RINGKASAN METRIK CVD UTAMA ---
FINAL CVD SOL (Net Delta Inflow),-11.5444 SOL
FINAL CVD USD (Net Delta Inflow),$-1093.64
FINAL CVD TOKENS,-17,727,248.825
CVD Bias / Net Inflow Ratio,-1.45% (SELL DOMINANT / DISTRIBUTION)
Total Volume SOL,798.1118 SOL (Buy: 393.2837 SOL | Sell: 404.8281 SOL)
Total Volume USD,$68622.74 (Buy: $33764.55 | Sell: $34858.19)
Total Transaksi Buy & Sell,862 TX (Buy: 469 [54.4%] | Sell: 393 [45.6%])
Unique Traders (Wallets),296 wallets
Top Net Accumulator Wallet,8fSnLTnRViK83dDesivTsPx2wiRhwti9xoafeMGjEyLJ (+14.837 SOL) [Tags: top_holder; bundler]
Top Net Seller Wallet,CP38T6K3CsDbUAw6gEJQ4SmB49HrFmG463dvqNXowoBj (-11.689 SOL) [Tags: photon]

--- MOMENTUM CVD PER KUARTIL WAKTU (Q1 -> Q4) ---
Kuartil Timeframe,Jumlah TX,Buy Volume (SOL),Sell Volume (SOL),Delta SOL (Net Inflow)
Q1 (229 TX),229,92.731,97.474,-4.743 SOL
Q2 (136 TX),136,67.653,71.648,-3.994 SOL
Q3 (276 TX),276,169.083,152.404,+16.678 SOL
Q4 (221 TX),221,63.816,83.302,-19.486 SOL

==========================================================================================
📋 DETAIL TRANSAKSI BUY & SELL (LENGKAP DENGAN RUNNING CVD SOL & USD)
==========================================================================================
No,Timestamp (UTC),Waktu Lokal,Arah (BUY/SELL),Delta SOL (+/-),CVD SOL (Cumulative Sum),Delta USD (+/-),CVD USD (Cumulative Sum),SOL Amount,Token Amount,USD Value,Price USD,Wallet Address,Tags (Bundler/Holder/Bot),Realized Profit USD,Current Balance,Total Trades Wallet,Tx Hash
1,2026-02-09 00:03:19.000,"2/9/2026, 7:03:19 AM",SELL,-0.0851,-0.0851,-7.39,-7.39,0.0851,83797.31,7.39,0.00008817,HmQa1Y2oqLKoi7cG9VpohCRod9eavk8dJUhAepqQ85gN,"",-12.35,0.00,23,24WghywuFkAMmneANkwDdQTNvztS1o7m7vJjydwi4dTKzaCbm5oCzR6EhifD5ZSQKonu8mcz3zWx1zByBNZ7keVi
2,2026-02-09 00:03:54.000,"2/9/2026, 7:03:54 AM",SELL,-0.0717,-0.1568,-6.21,-13.60,0.0717,75978.66,6.21,0.00008200,atom2VuiFEhgGSggRokWuXfsZaS6mxHKwKUSFnECshJ,"sandwich_bot",24050.14,0.00,8599,5Wum8wkyfGq7B9iBJKfXmH1haarvs7qQcNMCZipANArcKwLp9bUmH22MWp25KLtmpMwMzFXWte4oQTXktwGeC9Vj
3,2026-02-09 00:03:54.000,"2/9/2026, 7:03:54 AM",BUY,0.0690,-0.0877,5.99,-7.61,0.0690,75978.66,5.99,0.00007881,atom2VuiFEhgGSggRokWuXfsZaS6mxHKwKUSFnECshJ,"sandwich_bot",24050.14,0.00,8599,5Wum8wkyfGq7B9iBJKfXmH1haarvs7qQcNMCZipANArcKwLp9bUmH22MWp25KLtmpMwMzFXWte4oQTXktwGeC9Vj
4,2026-02-09 00:03:54.000,"2/9/2026, 7:03:54 AM",SELL,-0.0766,-0.1643,-6.64,-14.25,0.0766,76050.70,6.64,0.00008753,atom2VuiFEhgGSggRokWuXfsZaS6mxHKwKUSFnECshJ,"sandwich_bot",24050.14,0.00,8599,5WP2iG1m4vCnboVL77cCP6vr1cggs1fotxmjd73WVYaiDA5mqX8Gg8GgUfCp7wohxYa2tNS6zK35RWyc2XoWUQY1
5,2026-02-09 00:03:54.000,"2/9/2026, 7:03:54 AM",BUY,0.0690,-0.0952,5.99,-8.27,0.0690,76050.70,5.99,0.00007873,atom2VuiFEhgGSggRokWuXfsZaS6mxHKwKUSFnECshJ,"sandwich_bot",24050.14,0.00,8599,5WP2iG1m4vCnboVL77cCP6vr1cggs1fotxmjd73WVYaiDA5mqX8Gg8GgUfCp7wohxYa2tNS6zK35RWyc2XoWUQY1
6,2026-02-09 00:03:54.000,"2/9/2026, 7:03:54 AM",SELL,-1.8740,-1.9692,-162.51,-170.78,1.8740,2067380.11,162.51,0.00007861,AqQxuMPnATFYgpKz9mBMBQt7G1YT8TwxmiD3PfyhzfXr,"padre; bundler",-687.20,0.00,10,2djRqGpGxKNtrkDd5zfTRzwdob8h9PX9LxUhinS4C35k6PBQR2RUFZyeyiC7wrno577FAmUm6Zabq7Yb22XhuAWP
7,2026-02-09 00:03:54.000,"2/9/2026, 7:03:54 AM",SELL,-4.5151,-6.4844,-391.55,-562.33,4.5151,4769436.89,391.55,0.00008210,HBV4azNVaxxBThGzvoSD1mDa2AH1yLZrTc3m6pFVdAMv,"padre; bundler",-1118.28,0.00,14,4pnCm3cBQUHis151U7it5dxERwVA6tKpk9hHazYqq4RmQVjSN14ok2X7mmw9VWAfGg8cQXkJqrT8qxcGk1iv7NpJ
8,2026-02-09 00:03:54.000,"2/9/2026, 7:03:54 AM",SELL,-2.9720,-9.4564,-257.74,-820.07,2.9720,2986018.81,257.74,0.00008631,CzpLxng7gHFwV8wbx19Y8KB5FCWSqb4hB3n9MN99ZzAM,"padre; bundler",-921.77,0.00,13,55C6D7ik1TZ63WsWXNY1tkSATNGa8YTvr41eKLjPZdP8YD1tDBNCdB1ZqLHzxWSCi71CnHrXgzAjTvmuuk6pXh9V
9,2026-02-09 00:03:55.000,"2/9/2026, 7:03:55 AM",BUY,0.4324,-9.0240,37.48,-782.59,0.4324,458624.32,37.48,0.00008172,BDtkFwgEpSYFoYoWHjqqmm2qyHFPXPBC38RhzFnQixEC,"bundler",457.07,0.00,1404,2A1qVPQxYNUXxvq3pFvQq34zbXBEFPNsAgDtZh7Krajjuo7Qchoypd6kbrKLNZYaCrEYAbk2gakVnMSpqAWdfVVi
10,2026-02-09 00:03:55.000,"2/9/2026, 7:03:55 AM",BUY,0.4324,-8.5916,37.48,-745.11,0.4324,461307.62,37.48,0.00008125,6kPZJvgZn2vtcFoaN6G7M21hKE2tJADfLLE2RLNvzzzy,"bundler",607.01,0.00,813,59sJSuzFzUv4VJD17t1WzNPTarb8XcU3RUiRxyPWh3pWvtwNx9rNb5TpJRNtdrvWnkWfohYK7LSuuRnRDnhJhiMh
