==========================================================================================
📊 REKAPAN ANALISA CVD (CUMULATIVE VOLUME DELTA) & DATA TRANSAKSI GMGN
==========================================================================================
Token Mint Address,4TyZGqRLG3VcHTGMcLBoPUmqYitMVojXinAmkL8xpump
Timeframe Awal (UTC),2025-12-25 00:00:02.000 UTC
Timeframe Akhir (UTC),2025-12-25 23:46:55.000 UTC
Total Durasi Timeframe,23.78 Jam (1427 Menit)

--- RINGKASAN METRIK CVD UTAMA ---
FINAL CVD SOL (Net Delta),+72.3599 SOL
FINAL CVD USD (Net Delta),+$8705.05
FINAL CVD TOKENS,+96,711,047.114
CVD Bias / Net Inflow Ratio,0.82% (BUY DOMINANT / ACCUMULATION)
Total Volume SOL,8875.1404 SOL (Buy: 4473.7502 SOL | Sell: 4401.3903 SOL)
Total Volume USD,$1091185.98 (Buy: $549945.52 | Sell: $541240.47)
Total Transaksi,13268 TX (Buy: 6955 [52.4%] | Sell: 6313 [47.6%])
Unique Traders (Wallets),1624 wallets
Top Net Accumulator Wallet,AgmLJBMDCqWynYnQiPCuj9ewsNNsBJXyzoUhD9LJzN51 (+148.964 SOL) [Tags: sandwich_bot; bundler]
Top Net Seller Wallet,51ktg8vYic3XHpZ7N8AFv7GriVC4ake7TQ5j8RX7N1J5 (-58.966 SOL) [Tags: rat_trader]

--- MOMENTUM CVD PER KUARTIL WAKTU (Q1 -> Q4) ---
Kuartil Timeframe,Jumlah TX,Buy Volume (SOL),Sell Volume (SOL),Delta SOL (Net Inflow)
Q1 (2746 TX),2746,818.739,751.827,+66.912 SOL
Q2 (2360 TX),2360,579.674,551.715,+27.959 SOL
Q3 (2471 TX),2471,624.078,623.346,+0.732 SOL
Q4 (5691 TX),5691,2451.259,2474.502,-23.243 SOL

==========================================================================================
📋 DETAIL TRANSAKSI KRONOLOGIS (LENGKAP DENGAN RUNNING CVD SOL & USD)
==========================================================================================
No,Timestamp (UTC),Waktu Lokal,Arah (BUY/SELL),Delta SOL (+/-),CVD SOL (Cumulative Sum),Delta USD (+/-),CVD USD (Cumulative Sum),SOL Amount,Token Amount,USD Value,Price USD,Wallet Address,Tags (Bundler/Holder/Bot),Realized Profit USD,Current Balance,Total Trades Wallet,Tx Hash
1,2025-12-25 00:00:02.000,"25/12/2025, 07:00:02",SELL,-0.3290,-0.3290,-40.31,-40.31,0.3290,195935.80,40.31,0.00020572,9KnRHUcLoiXxtUDE9PrqRmcFwBLa1oRPK9YK1wx7qjSM,"sandwich_bot; fresh_wallet; bundler",-47406.92,0.00,39321,VCDxmwV3NDMEYorqPJvz5FwP8GAKEeGf7aY6ZmDYWKQUJ8mouBkJTFbf4VYnTL2rQecW8caTY6jZcmDfAkJxysF
2,2025-12-25 00:00:07.000,"25/12/2025, 07:00:07",SELL,-0.5998,-0.9288,-73.48,-113.79,0.5998,358800.31,73.48,0.00020480,GnJnKP6v785AgSidGsxJucBTjnuf2P1XW7Hg3GS8qH2T,"bundler",308.49,0.00,1496,2YUG9mvUskJsietKuWK1uVaUXphqnWKBqCgyHRFo439q5Rpw52RTUwMkm1mHewcvPuwXncqUo5c6rVqisj5e9Gs6
3,2025-12-25 00:00:09.000,"25/12/2025, 07:00:09",BUY,0.2369,-0.6919,29.03,-84.77,0.2369,140056.02,29.03,0.00020725,4ZPiEgu1vtNS4oAQgK576Z5zSvKGXxx96YCcPRHFAgMM,"",4629.81,0.00,110,5yEPhd9bsets3sysWjUtwdtUpYGikuBAMVKMhbAhmrh3b1LmGBQ7MfgymQ6nJALaEbeWDGQBjiQ8e8faD31wJzse
4,2025-12-25 00:00:12.000,"25/12/2025, 07:00:12",BUY,0.0802,-0.6116,9.83,-74.94,0.0802,47354.15,9.83,0.00020755,9Z61k2Te2EFjvLakiM8axtnWNLrGCbHMzttdjRhfoqHg,"",522.26,0.00,8,5z2WLe6bJJ1pSwuj7Jqm72HGQhZsgKUBEC1vidtuc6TrAGAJFNWnVTYtUGABJCGKiptwKGtxHhw3TB455xqPVZqe
5,2025-12-25 00:00:14.000,"25/12/2025, 07:00:14",BUY,1.9830,1.3714,242.98,168.05,1.9830,1159228.69,242.98,0.00020961,B9njUJfXVgWhKCiepAK4WtDs97W1tzeaMUh65zv2JDQZ,"",12840.30,0.00,266,5jMrrCm1oPB5fKSUs3MUiz3wGpwA6e19WKK4Sw47bxcBco8v5Cen8U6fv6S2BQ5qCVeHU12fVsrbwwq6dAnGroMA
6,2025-12-25 00:00:15.000,"25/12/2025, 07:00:15",SELL,-0.3281,1.0433,-40.20,127.85,0.3281,192871.61,40.20,0.00020841,9KnRHUcLoiXxtUDE9PrqRmcFwBLa1oRPK9YK1wx7qjSM,"sandwich_bot; fresh_wallet; bundler",-47406.92,0.00,39321,2fymjo4vsTb8yXwAwUndkdGMqDHhVgpeYr4v9aHgXk8arWFHAuJ7Tp1mVaZXhRNTTWhkHrHNdDfVncuBWj3cqKt8
7,2025-12-25 00:00:18.000,"25/12/2025, 07:00:18",SELL,-0.2445,0.7989,-29.96,97.89,0.2445,141461.49,29.96,0.00021176,gtagyESa99t49VmUqnnfsuowYnigSNKuYXdXWyXWNdd,"sandwich_bot",21724.37,0.00,22321,4mdkQJ7Yqu9v2A5Jgi366KHixK4F5fHq1d61AjGyHbWDX3GHtbAfYCRFWb2jDzo2LUQpCL6ypHcXw6xXJK7Azzfj
8,2025-12-25 00:00:18.000,"25/12/2025, 07:00:18",BUY,0.2355,1.0344,28.86,126.75,0.2355,141461.49,28.86,0.00020399,gtagyESa99t49VmUqnnfsuowYnigSNKuYXdXWyXWNdd,"sandwich_bot",21724.37,0.00,22321,4mdkQJ7Yqu9v2A5Jgi366KHixK4F5fHq1d61AjGyHbWDX3GHtbAfYCRFWb2jDzo2LUQpCL6ypHcXw6xXJK7Azzfj
9,2025-12-25 00:00:18.000,"25/12/2025, 07:00:18",BUY,1.9614,2.9958,240.33,367.08,1.9614,1128730.70,240.33,0.00021292,3hWDAxcu8noZfXot1vYCKSRkFLoW9KQgmPTuuHRqm8X4,"axiom",5752.08,0.00,19,5QLPgtgLuoV7w2UrD87SEHgEsgwVdPyYQLT1oeccK91VCekBTRp5xutZKcgCytmxcfn8VG916W7AxRZ1JYckRswq
10,2025-12-25 00:00:22.000,"25/12/2025, 07:00:22",BUY,0.0482,3.0440,5.91,372.99,0.0482,28691.50,5.91,0.00020603,4rj8Q9fL8rYHKyzNgWwNXkZuo8ooMpfR4kaxsTu2DZQQ,"",124.02,0.00,83,vwxxN66ZQosAjfs4rLiJYmoSPCE9FCZZ9JXnpM3YvvvH2xnG3dQV6BGSLdeURqGmsWX53VZNhhudVdAr3o3x3FX
